#Gene stable ID	Transcript stable ID	Gene name
YJL077W-A	YJL077W-A_mRNA	
YOR076C	YOR076C_mRNA	SKI7
YDR104C	YDR104C_mRNA	SPO71
YBR279W	YBR279W_mRNA	PAF1
YLR067C	YLR067C_mRNA	PET309
YHR219W	YHR219W_mRNA	
YGR249W	YGR249W_mRNA	MGA1
YLR456W	YLR456W_mRNA	
YGR283C	YGR283C_mRNA	
YDL027C	YDL027C_mRNA	MRX9
YKR023W	YKR023W_mRNA	
YGR028W	YGR028W_mRNA	MSP1
YCL001W-A	YCL001W-A_mRNA	
YDR052C	YDR052C_mRNA	DBF4
YFR035C	YFR035C_mRNA	
YJL102W	YJL102W_mRNA	MEF2
YNL336W	YNL336W_mRNA	COS1
YGL006W	YGL006W_mRNA	PMC1
YDR217C	YDR217C_mRNA	RAD9
YMR194C-A	YMR194C-A_mRNA	
YKL033W	YKL033W_mRNA	TTI1
YOR223W	YOR223W_mRNA	DSC3
YOR032W-A	YOR032W-A_mRNA	
YBR260C	YBR260C_mRNA	RGD1
YLR359W	YLR359W_mRNA	ADE13
YHR062C	YHR062C_mRNA	RPP1
YDR022C	YDR022C_mRNA	
YDR459C	YDR459C_mRNA	PFA5
YNL184C	YNL184C_mRNA	
YDR293C	YDR293C_mRNA	SSD1
YPL195W	YPL195W_mRNA	APL5
YMR173W	YMR173W_mRNA	DDR48
YDR374W-A	YDR374W-A_mRNA	WIP1
YAL007C	YAL007C_mRNA	ERP2
YGL235W	YGL235W_mRNA	
YGL134W	YGL134W_mRNA	PCL10
YER001W	YER001W_mRNA	MNN1
YDR366C	YDR366C_mRNA	
YHR023W	YHR023W_mRNA	MYO1
tI(AAU)E2	tI(AAU)E2_tRNA	
YDR430C	YDR430C_mRNA	CYM1
YGR002C	YGR002C_mRNA	SWC4
YNL220W	YNL220W_mRNA	ADE12
YBR109W-A	YBR109W-A_mRNA	
YHR110W	YHR110W_mRNA	ERP5
YKL136W	YKL136W_mRNA	
YLL067C	YLL067C_mRNA	
YPL078C	YPL078C_mRNA	ATP4
YBR073W	YBR073W_mRNA	RDH54
YPL119C	YPL119C_mRNA	DBP1
YOR135C	YOR135C_mRNA	IRC14
YPL212C	YPL212C_mRNA	PUS1
snR60	snR60_snoRNA	SNR60
tE(UUC)G3	tE(UUC)G3_tRNA	
YGL179C	YGL179C_mRNA	TOS3
YNL159C	YNL159C_mRNA	ASI2
YFR048W	YFR048W_mRNA	RMD8
YDR016C	YDR016C_mRNA	DAD1
YKL215C	YKL215C_mRNA	OXP1
YML035C	YML035C_mRNA	AMD1
YDL059C	YDL059C_mRNA	RAD59
tK(CUU)D2	tK(CUU)D2_tRNA	
YOR257W	YOR257W_mRNA	CDC31
tE(UUC)G2	tE(UUC)G2_tRNA	
YNL144C	YNL144C_mRNA	
YIL172C	YIL172C_mRNA	IMA3
YOR301W	YOR301W_mRNA	RAX1
HRA1	HRA1_ncRNA	HRA1
YHR157W	YHR157W_mRNA	REC104
YPR152C	YPR152C_mRNA	URN1
YDR442W	YDR442W_mRNA	
YPL008W	YPL008W_mRNA	CHL1
YMR086C-A	YMR086C-A_mRNA	
YGL032C	YGL032C_mRNA	AGA2
YEL077C	YEL077C_mRNA	
YGR174W-A	YGR174W-A_mRNA	
YOR148C	YOR148C_mRNA	SPP2
YHL048W	YHL048W_mRNA	COS8
YDR114C	YDR114C_mRNA	
YDR194W-A	YDR194W-A_mRNA	
YML062C	YML062C_mRNA	MFT1
YPR085C	YPR085C_mRNA	ASA1
tR(UCU)K	tR(UCU)K_tRNA	
YBL095W	YBL095W_mRNA	MRX3
YAR028W	YAR028W_mRNA	
YGR054W	YGR054W_mRNA	
YOR096W	YOR096W_mRNA	RPS7A
YMR022W	YMR022W_mRNA	UBC7
YCR027C	YCR027C_mRNA	RHB1
YDL183C	YDL183C_mRNA	
YJL225W-A	YJL225W-A_mRNA	
YNL278W	YNL278W_mRNA	CAF120
YLR395C	YLR395C_mRNA	COX8
YDR446W	YDR446W_mRNA	ECM11
YKL023W	YKL023W_mRNA	
YPL106C	YPL106C_mRNA	SSE1
tI(AAU)L1	tI(AAU)L1_tRNA	
tD(GUC)O	tD(GUC)O_tRNA	
tR(UCU)M2	tR(UCU)M2_tRNA	
YOR366W	YOR366W_mRNA	
YIR021W	YIR021W_mRNA	MRS1
YJL175W	YJL175W_mRNA	
YLL022C	YLL022C_mRNA	HIF1
YDR441C	YDR441C_mRNA	APT2
YPR002C-A	YPR002C-A_mRNA	
YOR299W	YOR299W_mRNA	BUD7
YLR047C	YLR047C_mRNA	FRE8
YMR082C	YMR082C_mRNA	
YEL023C	YEL023C_mRNA	
YDR411C	YDR411C_mRNA	DFM1
YKL025C	YKL025C_mRNA	PAN3
YLR225C	YLR225C_mRNA	
YPR029C	YPR029C_mRNA	APL4
YDR088C	YDR088C_mRNA	SLU7
YFL004W	YFL004W_mRNA	VTC2
YDR369C	YDR369C_mRNA	XRS2
YGL090W	YGL090W_mRNA	LIF1
YLR297W	YLR297W_mRNA	
YDR094W	YDR094W_mRNA	
YNL027W	YNL027W_mRNA	CRZ1
YAL064C-A	YAL064C-A_mRNA	TDA8
YJL083W	YJL083W_mRNA	TAX4
YKL171W	YKL171W_mRNA	NNK1
YOR353C	YOR353C_mRNA	SOG2
YJR132W	YJR132W_mRNA	NMD5
YLR255C	YLR255C_mRNA	
YMR013W-A	YMR013W-A_mRNA	
YNL144W-A	YNL144W-A_mRNA	
