#Gene stable ID	Transcript stable ID	Gene name
YBL009W	YBL009W_mRNA	ALK2
YNL128W	YNL128W_mRNA	TEP1
YER049W	YER049W_mRNA	TPA1
YGR212W	YGR212W_mRNA	SLI1
YCL063W	YCL063W_mRNA	VAC17
YLR127C	YLR127C_mRNA	APC2
YDR315C	YDR315C_mRNA	IPK1
YMR055C	YMR055C_mRNA	BUB2
YBL052C	YBL052C_mRNA	SAS3
YCR038C	YCR038C_mRNA	BUD5
YGL201C	YGL201C_mRNA	MCM6
YOR374W	YOR374W_mRNA	ALD4
YPR063C	YPR063C_mRNA	
YJR058C	YJR058C_mRNA	APS2
YOR034C	YOR034C_mRNA	AKR2
YGR035C	YGR035C_mRNA	
YOL118C	YOL118C_mRNA	
YBL085W	YBL085W_mRNA	BOI1
YDR126W	YDR126W_mRNA	SWF1
YIL049W	YIL049W_mRNA	DFG10
YNL277W-A	YNL277W-A_mRNA	
YEL024W	YEL024W_mRNA	RIP1
tP(UGG)M	tP(UGG)M_tRNA	SUF7
YIL014C-A	YIL014C-A_mRNA	YIL014C-A
YBL113W-A	YBL113W-A_mRNA	
YDR067C	YDR067C_mRNA	OCA6
YEL027W	YEL027W_mRNA	VMA3
YGL116W	YGL116W_mRNA	CDC20
YMR214W	YMR214W_mRNA	SCJ1
YGR080W	YGR080W_mRNA	TWF1
YDR048C	YDR048C_mRNA	
YDL060W	YDL060W_mRNA	TSR1
YKL190W	YKL190W_mRNA	CNB1
YPL126W	YPL126W_mRNA	NAN1
YOR012W	YOR012W_mRNA	
YLL006W-A	YLL006W-A_mRNA	
YHR192W	YHR192W_mRNA	LNP1
YDR255C	YDR255C_mRNA	RMD5
YFR050C	YFR050C_mRNA	PRE4
snR33	snR33_snoRNA	SNR33
YLR248W	YLR248W_mRNA	RCK2
YDR031W	YDR031W_mRNA	MIX14
YDR138W	YDR138W_mRNA	HPR1
YLR349W	YLR349W_mRNA	
YBL108W	YBL108W_mRNA	
YKL204W	YKL204W_mRNA	EAP1
YDR070C	YDR070C_mRNA	FMP16
YOL054W	YOL054W_mRNA	PSH1
YPL171C	YPL171C_mRNA	OYE3
YJR017C	YJR017C_mRNA	ESS1
YPL132W	YPL132W_mRNA	COX11
YBR275C	YBR275C_mRNA	RIF1
YOR053W	YOR053W_mRNA	YOR053W
YPL143W	YPL143W_mRNA	RPL33A
YCR015C	YCR015C_mRNA	CTO1
YOR198C	YOR198C_mRNA	BFR1
YDR399W	YDR399W_mRNA	HPT1
YKL017C	YKL017C_mRNA	HCS1
YKR064W	YKR064W_mRNA	OAF3
YIL055C	YIL055C_mRNA	
YOR287C	YOR287C_mRNA	RRP36
YDR494W	YDR494W_mRNA	RSM28
YER073W	YER073W_mRNA	ALD5
YNL069C	YNL069C_mRNA	RPL16B
YNL111C	YNL111C_mRNA	CYB5
YCL049C	YCL049C_mRNA	
YBR133C	YBR133C_mRNA	HSL7
YPR040W	YPR040W_mRNA	TIP41
YPL253C	YPL253C_mRNA	VIK1
YNL166C	YNL166C_mRNA	BNI5
YPR021C	YPR021C_mRNA	AGC1
YPL207W	YPL207W_mRNA	TYW1
YJR068W	YJR068W_mRNA	RFC2
YER075C	YER075C_mRNA	PTP3
YNR057C	YNR057C_mRNA	BIO4
tK(CUU)G3	tK(CUU)G3_tRNA	
YFR019W	YFR019W_mRNA	FAB1
YHR040W	YHR040W_mRNA	BCD1
YFL042C	YFL042C_mRNA	
YMR223W	YMR223W_mRNA	UBP8
tG(UCC)N	tG(UCC)N_tRNA	SUF6
YEL031W	YEL031W_mRNA	SPF1
YDR368W	YDR368W_mRNA	YPR1
YNL067W-B	YNL067W-B_mRNA	YNL067W-B
YLR295C	YLR295C_mRNA	ATP14
YLR307C-A	YLR307C-A_mRNA	
YCR101C	YCR101C_mRNA	
YML007C-A	YML007C-A_mRNA	
YMR256C	YMR256C_mRNA	COX7
YKL192C	YKL192C_mRNA	ACP1
YFR042W	YFR042W_mRNA	KEG1
YOL139C	YOL139C_mRNA	CDC33
YBR173C	YBR173C_mRNA	UMP1
YNL242W	YNL242W_mRNA	ATG2
YDR192C	YDR192C_mRNA	NUP42
YJL140W	YJL140W_mRNA	RPB4
YBR170C	YBR170C_mRNA	NPL4
YCR024C-B	YCR024C-B_mRNA	
YBR184W	YBR184W_mRNA	
YBR203W	YBR203W_mRNA	COS111
YFL005W	YFL005W_mRNA	SEC4
YNL292W	YNL292W_mRNA	PUS4
tL(UAA)D	tL(UAA)D_tRNA	
YDR251W	YDR251W_mRNA	PAM1
YPL201C	YPL201C_mRNA	YIG1
YIR013C	YIR013C_mRNA	GAT4
YHR063W-A	YHR063W-A_mRNA	
YLR284C	YLR284C_mRNA	ECI1
YNL266W	YNL266W_mRNA	
YIL043C	YIL043C_mRNA	CBR1
snR66	snR66_snoRNA	SNR66
YBR249C	YBR249C_mRNA	ARO4
YAR060C	YAR060C_mRNA	
YMR251W	YMR251W_mRNA	GTO3
YBR265W	YBR265W_mRNA	TSC10
YGL071W	YGL071W_mRNA	AFT1
YGL144C	YGL144C_mRNA	ROG1
YPL188W	YPL188W_mRNA	POS5
YGL023C	YGL023C_mRNA	PIB2
snR5	snR5_snoRNA	SNR5
YIL071W-A	YIL071W-A_mRNA	
YIL130W	YIL130W_mRNA	ASG1
YER023C-A	YER023C-A_mRNA	
Q0050	Q0050_mRNA	AI1
YFL017W-A	YFL017W-A_mRNA	SMX2
YJR024C	YJR024C_mRNA	MDE1
YLL019C	YLL019C_mRNA	KNS1
YNL339W-A	YNL339W-A_mRNA	
YLR138W	YLR138W_mRNA	NHA1
YNR066C	YNR066C_mRNA	
YHR178W	YHR178W_mRNA	STB5
YJR151C	YJR151C_mRNA	DAN4
YGR015C	YGR015C_mRNA	
YGR138C	YGR138C_mRNA	TPO2
YKL162C	YKL162C_mRNA	
YBL079W	YBL079W_mRNA	NUP170
YER046W	YER046W_mRNA	SPO73
YMR042W	YMR042W_mRNA	ARG80
YDL185W	YDL185W_mRNA	VMA1
YJR032W	YJR032W_mRNA	CPR7
YDL158C	YDL158C_mRNA	
YBR104W	YBR104W_mRNA	YMC2
YFL031W	YFL031W_mRNA	HAC1
YHL033C	YHL033C_mRNA	RPL8A
YAL067W-A	YAL067W-A_mRNA	
YHR066W	YHR066W_mRNA	SSF1
YCR085W	YCR085W_mRNA	
tL(CAA)M	tL(CAA)M_tRNA	
PWR1	PWR1_ncRNA	PWR1
YKL156W	YKL156W_mRNA	RPS27A
YDR241W	YDR241W_mRNA	BUD26
YHR029C	YHR029C_mRNA	YHI9
YIL138C	YIL138C_mRNA	TPM2
YOL055C	YOL055C_mRNA	THI20
YGL236C	YGL236C_mRNA	MTO1
YAL049C	YAL049C_mRNA	AIM2
YNR009W	YNR009W_mRNA	NRM1
YBR048W	YBR048W_mRNA	RPS11B
YER102W	YER102W_mRNA	RPS8B
YJL177W	YJL177W_mRNA	RPL17B
YDR146C	YDR146C_mRNA	SWI5
YIL154C	YIL154C_mRNA	
YJL131C	YJL131C_mRNA	AIM23
YKL056C	YKL056C_mRNA	TMA19
YPL069C	YPL069C_mRNA	BTS1
YHR073C-B	YHR073C-B_mRNA	
YOR180C	YOR180C_mRNA	DCI1
YMR078C	YMR078C_mRNA	CTF18
YDL202W	YDL202W_mRNA	MRPL11
YBR032W	YBR032W_mRNA	
tW(CCA)K	tW(CCA)K_tRNA	
YBR273C	YBR273C_mRNA	UBX7
YER005W	YER005W_mRNA	YND1
YDL192W	YDL192W_mRNA	ARF1
tH(GUG)Q	tH(GUG)Q_tRNA	
YLR281C	YLR281C_mRNA	
YOR394C-A	YOR394C-A_mRNA	
YDR308C	YDR308C_mRNA	SRB7
YDR484W	YDR484W_mRNA	VPS52
YLR385C	YLR385C_mRNA	SWC7
tV(AAC)E1	tV(AAC)E1_tRNA	
YML120C	YML120C_mRNA	NDI1
YEL073C	YEL073C_mRNA	
YDL178W	YDL178W_mRNA	DLD2
YLR136C	YLR136C_mRNA	TIS11
YNL100W	YNL100W_mRNA	
YKR008W	YKR008W_mRNA	RSC4
YML118W	YML118W_mRNA	NGL3
YDR106W	YDR106W_mRNA	ARP10
ITS1-2	ITS1-2_rRNA	ITS1-2
YLR406C	YLR406C_mRNA	RPL31B
YDR330W	YDR330W_mRNA	UBX5
YOR279C	YOR279C_mRNA	RFM1
YIL125W	YIL125W_mRNA	KGD1
YEL032C-A	YEL032C-A_mRNA	
YER167W	YER167W_mRNA	BCK2
YML031W	YML031W_mRNA	NDC1
ETS1-2	ETS1-2_rRNA	ETS1-2
YDR179W-A	YDR179W-A_mRNA	NVJ3
YOL008W	YOL008W_mRNA	COQ10
YBR278W	YBR278W_mRNA	DPB3
YNL326C	YNL326C_mRNA	PFA3
YDR213W	YDR213W_mRNA	UPC2
YMR087W	YMR087W_mRNA	
YOR111W	YOR111W_mRNA	
YGL257C	YGL257C_mRNA	MNT2
YMR220W	YMR220W_mRNA	ERG8
YBR154C	YBR154C_mRNA	RPB5
YBR191W-A	YBR191W-A_mRNA	
YIR017C	YIR017C_mRNA	MET28
YHL028W	YHL028W_mRNA	WSC4
YOR015W	YOR015W_mRNA	
YFR012W-A	YFR012W-A_mRNA	
YHL050W-A	YHL050W-A_mRNA	
YGR060W	YGR060W_mRNA	ERG25
YGL206C	YGL206C_mRNA	CHC1
YOR321W	YOR321W_mRNA	PMT3
YHR081W	YHR081W_mRNA	LRP1
YDR281C	YDR281C_mRNA	PHM6
YER083C	YER083C_mRNA	GET2
YPL030W	YPL030W_mRNA	TRM44
YHR071C-A	YHR071C-A_mRNA	
YPR162C	YPR162C_mRNA	ORC4
YPL283W-B	YPL283W-B_mRNA	
YMR138W	YMR138W_mRNA	CIN4
YNL215W	YNL215W_mRNA	IES2
YMR053C	YMR053C_mRNA	STB2
YMR122W-A	YMR122W-A_mRNA	
YLR118C	YLR118C_mRNA	YLR118C
YEL030W	YEL030W_mRNA	ECM10
YFR038W	YFR038W_mRNA	IRC5
YMR041C	YMR041C_mRNA	ARA2
YGR058W	YGR058W_mRNA	PEF1
YER153C	YER153C_mRNA	PET122
YGL195W	YGL195W_mRNA	GCN1
YER137W-A	YER137W-A_mRNA	
YNL225C	YNL225C_mRNA	CNM67
YPR074W-A	YPR074W-A_mRNA	
YMR029C	YMR029C_mRNA	FAR8
YMR092C	YMR092C_mRNA	AIP1
YER113C	YER113C_mRNA	TMN3
YIL052C	YIL052C_mRNA	RPL34B
YHL038C	YHL038C_mRNA	CBP2
YGL192W	YGL192W_mRNA	IME4
YIL078W	YIL078W_mRNA	THS1
YLR036C	YLR036C_mRNA	
YOL057W	YOL057W_mRNA	
YPL104W	YPL104W_mRNA	MSD1
YFR020W	YFR020W_mRNA	CSS2
YLL009C	YLL009C_mRNA	COX17
YNR044W	YNR044W_mRNA	AGA1
YLL035W	YLL035W_mRNA	GRC3
YOL157C	YOL157C_mRNA	IMA2
tK(CUU)E1	tK(CUU)E1_tRNA	
YBL045C	YBL045C_mRNA	COR1
YKL101W	YKL101W_mRNA	HSL1
YMR291W	YMR291W_mRNA	TDA1
YLR426W	YLR426W_mRNA	TDA5
RDN37-1	RDN37-1_rRNA	RDN37-1
tL(CAA)L	tL(CAA)L_tRNA	
YOR347C	YOR347C_mRNA	PYK2
YOR143C	YOR143C_mRNA	THI80
YGR259C	YGR259C_mRNA	
YMR023C	YMR023C_mRNA	MSS1
YLL049W	YLL049W_mRNA	LDB18
YBL029W	YBL029W_mRNA	
YNR059W	YNR059W_mRNA	MNT4
YGR071C	YGR071C_mRNA	ENV11
YOL058W	YOL058W_mRNA	ARG1
YEL015W	YEL015W_mRNA	EDC3
YDR279W	YDR279W_mRNA	RNH202
YNL235C	YNL235C_mRNA	
YKR035C	YKR035C_mRNA	OPI8
YKR081C	YKR081C_mRNA	RPF2
YBR221C	YBR221C_mRNA	PDB1
YJR143C	YJR143C_mRNA	PMT4
YPR078C	YPR078C_mRNA	
YDL173W	YDL173W_mRNA	PAR32
YBR123C	YBR123C_mRNA	TFC1
YJR073C	YJR073C_mRNA	OPI3
YOR362C	YOR362C_mRNA	PRE10
YOR249C	YOR249C_mRNA	APC5
YKL185W	YKL185W_mRNA	ASH1
YIL091C	YIL091C_mRNA	UTP25
YFL040W	YFL040W_mRNA	
YKL080W	YKL080W_mRNA	VMA5
YLR087C	YLR087C_mRNA	CSF1
YIL073C	YIL073C_mRNA	SPO22
YIL034C	YIL034C_mRNA	CAP2
YDR522C	YDR522C_mRNA	SPS2
YKL093W	YKL093W_mRNA	MBR1
YDR400W	YDR400W_mRNA	URH1
YJL211C	YJL211C_mRNA	
YAR008W	YAR008W_mRNA	SEN34
YJL225C	YJL225C_mRNA	
YFR010W	YFR010W_mRNA	UBP6
YMR258C	YMR258C_mRNA	ROY1
YOR013W	YOR013W_mRNA	IRC11
tC(GCA)G	tC(GCA)G_tRNA	
YCR045C	YCR045C_mRNA	RRT12
YJL007C	YJL007C_mRNA	
YDL141W	YDL141W_mRNA	BPL1
YIR041W	YIR041W_mRNA	PAU15
YHR008C	YHR008C_mRNA	SOD2
YJL122W	YJL122W_mRNA	ALB1
YKL152C	YKL152C_mRNA	GPM1
YLR137W	YLR137W_mRNA	RKM5
YOR123C	YOR123C_mRNA	LEO1
YHR032W	YHR032W_mRNA	ERC1
YDL105W	YDL105W_mRNA	NSE4
YPL096W	YPL096W_mRNA	PNG1
tD(GUC)J1	tD(GUC)J1_tRNA	
YOL052C-A	YOL052C-A_mRNA	DDR2
YDR318W	YDR318W_mRNA	MCM21
YIL037C	YIL037C_mRNA	PRM2
YDR481C	YDR481C_mRNA	PHO8
YIL142W	YIL142W_mRNA	CCT2
YJL198W	YJL198W_mRNA	PHO90
YER130C	YER130C_mRNA	COM2
YNL222W	YNL222W_mRNA	SSU72
YNL260C	YNL260C_mRNA	LTO1
YNL156C	YNL156C_mRNA	NSG2
YKL197C	YKL197C_mRNA	PEX1
YOR390W	YOR390W_mRNA	FEX1
YER138W-A	YER138W-A_mRNA	
Q0120	Q0120_mRNA	BI4
YFL034C-A	YFL034C-A_mRNA	RPL22B
YFR012W	YFR012W_mRNA	DCV1
YGL083W	YGL083W_mRNA	SCY1
YML084W	YML084W_mRNA	
ITS1-1	ITS1-1_rRNA	ITS1-1
YOL077C	YOL077C_mRNA	BRX1
YOR291W	YOR291W_mRNA	YPK9
YMR304C-A	YMR304C-A_mRNA	
YNL279W	YNL279W_mRNA	PRM1
YNL281W	YNL281W_mRNA	HCH1
YLR420W	YLR420W_mRNA	URA4
YGL198W	YGL198W_mRNA	YIP4
YCR061W	YCR061W_mRNA	YCR061W
YPR145C-A	YPR145C-A_mRNA	
YMR185W	YMR185W_mRNA	RTP1
YMR278W	YMR278W_mRNA	PRM15
YML111W	YML111W_mRNA	BUL2
YCR040W	YCR040W_mRNA	MATALPHA1
YJL125C	YJL125C_mRNA	GCD14
YGL218W	YGL218W_mRNA	YGL218W
YPR052C	YPR052C_mRNA	NHP6A
YDR390C	YDR390C_mRNA	UBA2
tR(UCU)G1	tR(UCU)G1_tRNA	
YML002W	YML002W_mRNA	
YBR085C-A	YBR085C-A_mRNA	
YER158C	YER158C_mRNA	
YLR268W	YLR268W_mRNA	SEC22
YFL017C	YFL017C_mRNA	GNA1
YGR143W	YGR143W_mRNA	SKN1
YLR466C-A	YLR466C-A_mRNA	
YHL022C	YHL022C_mRNA	SPO11
YDL122W	YDL122W_mRNA	UBP1
YHR165W-A	YHR165W-A_mRNA	
YCR106W	YCR106W_mRNA	RDS1
YBR020W	YBR020W_mRNA	GAL1
YMR108W	YMR108W_mRNA	ILV2
YDR420W	YDR420W_mRNA	HKR1
YNL053W	YNL053W_mRNA	MSG5
YKR106W	YKR106W_mRNA	GEX2
YDR486C	YDR486C_mRNA	VPS60
YBR262C	YBR262C_mRNA	
YGR221C	YGR221C_mRNA	TOS2
YJL144W	YJL144W_mRNA	
snR59	snR59_snoRNA	SNR59
YER068W	YER068W_mRNA	MOT2
YOR030W	YOR030W_mRNA	DFG16
YBR233W	YBR233W_mRNA	PBP2
YBR195C	YBR195C_mRNA	MSI1
YLR041W	YLR041W_mRNA	
YLL012W	YLL012W_mRNA	YEH1
YGL130W	YGL130W_mRNA	CEG1
YDR323C	YDR323C_mRNA	PEP7
YOR319W	YOR319W_mRNA	HSH49
YNL236W	YNL236W_mRNA	SIN4
YPL265W	YPL265W_mRNA	DIP5
YBR300C	YBR300C_mRNA	
YGL042C	YGL042C_mRNA	
YCL047C	YCL047C_mRNA	POF1
YNR001W-A	YNR001W-A_mRNA	
YLR022C	YLR022C_mRNA	SDO1
YIL177W-A	YIL177W-A_mRNA	
YMR035W	YMR035W_mRNA	IMP2
YHR083W	YHR083W_mRNA	SAM35
YGR090W	YGR090W_mRNA	UTP22
YEL020C-B	YEL020C-B_mRNA	
YLR382C	YLR382C_mRNA	NAM2
tK(UUU)L	tK(UUU)L_tRNA	
YNL327W	YNL327W_mRNA	EGT2
YLR273C	YLR273C_mRNA	PIG1
YML009W-B	YML009W-B_mRNA	YML009W-B
YLR172C	YLR172C_mRNA	DPH5
YER119C	YER119C_mRNA	AVT6
YOL077W-A	YOL077W-A_mRNA	ATP19
YPL080C	YPL080C_mRNA	
YKR076W	YKR076W_mRNA	ECM4
tR(ACG)L	tR(ACG)L_tRNA	
YDR242W	YDR242W_mRNA	AMD2
YOR282W	YOR282W_mRNA	
YCL058W-A	YCL058W-A_mRNA	ADF1
YOL021C	YOL021C_mRNA	DIS3
YJL207C	YJL207C_mRNA	LAA1
YNR018W	YNR018W_mRNA	RCF2
YLR154W-F	YLR154W-F_mRNA	
YPL148C	YPL148C_mRNA	PPT2
YIL023C	YIL023C_mRNA	YKE4
YGR121W-A	YGR121W-A_mRNA	
YDR072C	YDR072C_mRNA	IPT1
YNL198C	YNL198C_mRNA	
YER064C	YER064C_mRNA	VHR2
YLR374C	YLR374C_mRNA	
YLR315W	YLR315W_mRNA	NKP2
YOL130W	YOL130W_mRNA	ALR1
YGR206W	YGR206W_mRNA	MVB12
YMR175W	YMR175W_mRNA	SIP18
YFL061W	YFL061W_mRNA	DDI2
YER147C	YER147C_mRNA	SCC4
YKR028W	YKR028W_mRNA	SAP190
YNL271C	YNL271C_mRNA	BNI1
tT(AGU)N1	tT(AGU)N1_tRNA	
YLR444C	YLR444C_mRNA	
YBR072C-A	YBR072C-A_mRNA	
YDR346C	YDR346C_mRNA	SVF1
YMR270C	YMR270C_mRNA	RRN9
YOL136C	YOL136C_mRNA	PFK27
YIL020C	YIL020C_mRNA	HIS6
YOL083W	YOL083W_mRNA	ATG34
YCR075W-A	YCR075W-A_mRNA	EGO2
tM(CAU)J2	tM(CAU)J2_tRNA	EMT3
tA(AGC)M1	tA(AGC)M1_tRNA	
YNL070W	YNL070W_mRNA	TOM7
tD(GUC)N	tD(GUC)N_tRNA	
Q0110	Q0110_mRNA	BI2
YFL037W	YFL037W_mRNA	TUB2
YJR078W	YJR078W_mRNA	BNA2
YPL005W	YPL005W_mRNA	AEP3
YER085C	YER085C_mRNA	
YJL059W	YJL059W_mRNA	YHC3
YDL091C	YDL091C_mRNA	UBX3
YGR068W-A	YGR068W-A_mRNA	
tA(AGC)K2	tA(AGC)K2_tRNA	
YEL050W-A	YEL050W-A_mRNA	
YGL119W	YGL119W_mRNA	COQ8
YOR040W	YOR040W_mRNA	GLO4
tL(UAA)B1	tL(UAA)B1_tRNA	
YIL135C	YIL135C_mRNA	VHS2
YHR104W	YHR104W_mRNA	GRE3
YJL143W	YJL143W_mRNA	TIM17
YAL004W	YAL004W_mRNA	
YDL074C	YDL074C_mRNA	BRE1
YJR124C	YJR124C_mRNA	
YPL139C	YPL139C_mRNA	UME1
YMR043W	YMR043W_mRNA	MCM1
YLR174W	YLR174W_mRNA	IDP2
YIR024C	YIR024C_mRNA	
YER065C	YER065C_mRNA	ICL1
YEL029C	YEL029C_mRNA	BUD16
YCR102C	YCR102C_mRNA	
YKR009C	YKR009C_mRNA	FOX2
YJR059W	YJR059W_mRNA	PTK2
YOR110W	YOR110W_mRNA	TFC7
YER151C	YER151C_mRNA	UBP3
YIL093C	YIL093C_mRNA	RSM25
YGL054C	YGL054C_mRNA	ERV14
YHR213W-B	YHR213W-B_mRNA	
YML054C-A	YML054C-A_mRNA	
YBL109W	YBL109W_mRNA	
YPL128C	YPL128C_mRNA	TBF1
YER136W	YER136W_mRNA	GDI1
YDL211C	YDL211C_mRNA	
YDR261C	YDR261C_mRNA	EXG2
YJL217W	YJL217W_mRNA	REE1
YNL255C	YNL255C_mRNA	GIS2
YJR076C	YJR076C_mRNA	CDC11
YGL044C	YGL044C_mRNA	RNA15
YNL051W	YNL051W_mRNA	COG5
YNL148C	YNL148C_mRNA	ALF1
YLL019W-A	YLL019W-A_mRNA	
YMR107W	YMR107W_mRNA	SPG4
YNR075C-A	YNR075C-A_mRNA	
YDL147W	YDL147W_mRNA	RPN5
YDL081C	YDL081C_mRNA	RPP1A
YOR294W	YOR294W_mRNA	RRS1
YLR258W	YLR258W_mRNA	GSY2
YOR288C	YOR288C_mRNA	MPD1
YDR283C	YDR283C_mRNA	GCN2
YIL099W	YIL099W_mRNA	SGA1
YBL104C	YBL104C_mRNA	SEA4
YLR330W	YLR330W_mRNA	CHS5
YLR244C	YLR244C_mRNA	MAP1
YHL034W-A	YHL034W-A_mRNA	
YDR340W	YDR340W_mRNA	
YIL020C-A	YIL020C-A_mRNA	
YGL229C	YGL229C_mRNA	SAP4
YMR316C-B	YMR316C-B_mRNA	
YBR157C	YBR157C_mRNA	ICS2
YGR055W	YGR055W_mRNA	MUP1
YLR299C-A	YLR299C-A_mRNA	
tV(CAC)D	tV(CAC)D_tRNA	
YDL108W	YDL108W_mRNA	KIN28
YGR072W	YGR072W_mRNA	UPF3
YKL068W	YKL068W_mRNA	NUP100
YDR313C	YDR313C_mRNA	PIB1
YPL271W	YPL271W_mRNA	ATP15
YCR019W	YCR019W_mRNA	MAK32
YBL017C	YBL017C_mRNA	PEP1
YDR496C	YDR496C_mRNA	PUF6
YPL027W	YPL027W_mRNA	SMA1
YMR279C	YMR279C_mRNA	
YJL222W-B	YJL222W-B_mRNA	
YCL007C	YCL007C_mRNA	YCL007C
YHR019C	YHR019C_mRNA	DED81
YLL041C	YLL041C_mRNA	SDH2
YCR033W	YCR033W_mRNA	SNT1
YAR002C-A	YAR002C-A_mRNA	ERP1
YNL085W	YNL085W_mRNA	MKT1
YBR289W	YBR289W_mRNA	SNF5
YPL076W	YPL076W_mRNA	GPI2
YPL100W	YPL100W_mRNA	ATG21
YBR035C	YBR035C_mRNA	PDX3
YER079W	YER079W_mRNA	
YMR244W	YMR244W_mRNA	
YCL005W-A	YCL005W-A_mRNA	VMA9
YLR053C	YLR053C_mRNA	
YDR537C	YDR537C_mRNA	
YIL019W	YIL019W_mRNA	FAF1
YDL205C	YDL205C_mRNA	HEM3
YML126C	YML126C_mRNA	ERG13
YDL054C	YDL054C_mRNA	MCH1
YLR232W	YLR232W_mRNA	
YLR086W	YLR086W_mRNA	SMC4
YNL037C	YNL037C_mRNA	IDH1
YHR202W	YHR202W_mRNA	
YMR184W	YMR184W_mRNA	ADD37
YFR046C	YFR046C_mRNA	CNN1
YGL067W	YGL067W_mRNA	NPY1
tP(UGG)H	tP(UGG)H_tRNA	SUF8
YLR298C	YLR298C_mRNA	YHC1
YHL016C	YHL016C_mRNA	DUR3
YDR531W	YDR531W_mRNA	CAB1
tG(GCC)D1	tG(GCC)D1_tRNA	
YER023W	YER023W_mRNA	PRO3
YGR151C	YGR151C_mRNA	
YOL099C	YOL099C_mRNA	
YBR152W	YBR152W_mRNA	SPP381
YDR226W	YDR226W_mRNA	ADK1
YGL034C	YGL034C_mRNA	
YPR011C	YPR011C_mRNA	
tD(GUC)J2	tD(GUC)J2_tRNA	
YLR283W	YLR283W_mRNA	
YDL133C-A	YDL133C-A_mRNA	RPL41B
YOR182C	YOR182C_mRNA	RPS30B
YIL083C	YIL083C_mRNA	CAB2
YHR044C	YHR044C_mRNA	DOG1
YDR188W	YDR188W_mRNA	CCT6
tS(UGA)Q2	tS(UGA)Q2_tRNA	
YOR219C	YOR219C_mRNA	STE13
YGR292W	YGR292W_mRNA	MAL12
YHR140W	YHR140W_mRNA	
YHR072W-A	YHR072W-A_mRNA	NOP10
YDL237W	YDL237W_mRNA	AIM6
YDR524C	YDR524C_mRNA	AGE1
YPR038W	YPR038W_mRNA	IRC16
YLR238W	YLR238W_mRNA	FAR10
YGR184C	YGR184C_mRNA	UBR1
YMR010W	YMR010W_mRNA	ANY1
YCR048W	YCR048W_mRNA	ARE1
YGR024C	YGR024C_mRNA	THG1
YGL237C	YGL237C_mRNA	HAP2
YPR045C	YPR045C_mRNA	THP3
YPL033C	YPL033C_mRNA	SRL4
YER024W	YER024W_mRNA	YAT2
YHR210C	YHR210C_mRNA	
YKL092C	YKL092C_mRNA	BUD2
tV(AAC)G1	tV(AAC)G1_tRNA	
YDR189W	YDR189W_mRNA	SLY1
YJL047C-A	YJL047C-A_mRNA	
YMR165C	YMR165C_mRNA	PAH1
YGR062C	YGR062C_mRNA	COX18
YGL161C	YGL161C_mRNA	YIP5
YMR206W	YMR206W_mRNA	
YMR019W	YMR019W_mRNA	STB4
YCR073C	YCR073C_mRNA	SSK22
tI(AAU)N2	tI(AAU)N2_tRNA	
YBR127C	YBR127C_mRNA	VMA2
YPR136C	YPR136C_mRNA	
YGR076C	YGR076C_mRNA	MRPL25
YOR232W	YOR232W_mRNA	MGE1
tT(AGU)J	tT(AGU)J_tRNA	
YML012C-A	YML012C-A_mRNA	YML012C-A
YNL068C	YNL068C_mRNA	FKH2
tA(AGC)H	tA(AGC)H_tRNA	
snR39	snR39_snoRNA	SNR39
YMR123W	YMR123W_mRNA	PKR1
YJL100W	YJL100W_mRNA	LSB6
YOL061W	YOL061W_mRNA	PRS5
YJL206C	YJL206C_mRNA	
YKL222C	YKL222C_mRNA	
YHR032W-A	YHR032W-A_mRNA	
YJL005W	YJL005W_mRNA	CYR1
YLL059C	YLL059C_mRNA	
YHR139C	YHR139C_mRNA	SPS100
YPL239W	YPL239W_mRNA	YAR1
YMR170C	YMR170C_mRNA	ALD2
YDR090C	YDR090C_mRNA	
RUF5-1	RUF5-1_ncRNA	RUF5-1
YOL092W	YOL092W_mRNA	YPQ1
YCL018W	YCL018W_mRNA	LEU2
YBL023C	YBL023C_mRNA	MCM2
YDR161W	YDR161W_mRNA	ACL4
YLR048W	YLR048W_mRNA	RPS0B
tG(GCC)J1	tG(GCC)J1_tRNA	
YMR280C	YMR280C_mRNA	CAT8
YBL044W	YBL044W_mRNA	
YPL118W	YPL118W_mRNA	MRP51
YEL025C	YEL025C_mRNA	YEL025C
tL(UAA)J	tL(UAA)J_tRNA	SUP51
YNR077C	YNR077C_mRNA	
YNR022C	YNR022C_mRNA	MRPL50
YBR017C	YBR017C_mRNA	KAP104
YJR126C	YJR126C_mRNA	VPS70
YDR376W	YDR376W_mRNA	ARH1
YKL120W	YKL120W_mRNA	OAC1
YDR450W	YDR450W_mRNA	RPS18A
tE(UUC)J	tE(UUC)J_tRNA	
YBR079C	YBR079C_mRNA	RPG1
YDR402C	YDR402C_mRNA	DIT2
YHR155W	YHR155W_mRNA	LAM1
YHR211W	YHR211W_mRNA	FLO5
YBR137W	YBR137W_mRNA	
YGR049W	YGR049W_mRNA	SCM4
YJL026C-A	YJL026C-A_mRNA	
YPR075C	YPR075C_mRNA	OPY2
YNL259C	YNL259C_mRNA	ATX1
YOR162C	YOR162C_mRNA	YRR1
YOR158W	YOR158W_mRNA	PET123
YHL012W	YHL012W_mRNA	
YAL026C-A	YAL026C-A_mRNA	
YDR257C	YDR257C_mRNA	RKM4
YGL062W	YGL062W_mRNA	PYC1
