ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
222	155,192	78,136			198	99
223	114,101	294,287			198	99
224	22,48	270,333			198	99
225	18,52	1,17			198	99
226	96,355	5,58			198	99
227	119,351	7,24			198	99
228	81,37	0,0			198	99
229	8,3	449,270			198	99
230	9,9	0,0			198	99
231	0,2	2,5			198	99
232	15,5	1,0			198	99
233	346,243	838,631			198	99
234	23,53	12,34			198	99
235	36,19	327,194			198	99
236	53,32	433,348			198	99
237	76,100	210,206			183	99
238	56,45	282,230			198	99
239	14,19	415,240			198	99
240	225,498	6,9			180	99
241	328,196	310,179			198	99
242	1,10	0,25			198	99
243	15,69	4,4			198	99
244	593,443	1,6			198	99
245	7,2	15,11			172	99
246	0,3	38,357			175	99
247	0,0	0,0			198	99
248	0,0	0,0			198	99
249	0,0	0,0			198	99
250	0,0	0,0			161	99
251	3,3	0,1			198	99
252	0,0	0,0			198	99
253	3041,1761	779,493			198	99
254	265,194	0,0			100	99
255	153,100	0,0			100	99
256	60,40	33,39			198	99
257	143,92	98,77			198	99
258	16,17	87,42			198	99
259	8,11	5,1			198	99
260	6,10	3,0			198	99
261	4,11	1,4			198	99
262	2,4	0,3			198	99
263	2,11	58,222			198	99
264	5,17	151,306			198	99
265	4,9	119,186			198	99
266	12,48	1,1			198	99
267	688,717	0,2			198	99
268	2,2	393,392			198	99
269	11,5	540,419			198	99
270	123,94	2255,1936			198	99
271	0,0	0,0			198	99
272	0,0	0,0			198	99
273	165,95	9,9			198	99
274	0,1	0,0			198	99
275	0,0	0,0			196	99
276	38,25	0,0			198	99
277	20,7	6,3			198	99
278	24,7	0,0			198	99
279	0,0	0,0			198	99
280	0,0	0,0			198	99
281	4,3	140,155			198	99
282	4,9	69,58			198	99
283	6,2	37,18			198	99
284	4,3	0,1			198	99
285	3,5	0,0			198	99
286	48,29	29,27			198	99
287	0,0	0,0			198	99
288	0,0	0,0			198	99
289	0,0	0,0			198	99
290	0,1	0,0			198	99
291	57,42	6739,3668			198	99
292	20,33	420,276			198	99
293	56,30	16,13			198	99
294	0,0	0,0			198	99
295	0,0	0,0			198	99
296	0,0	0,0			198	99
297	0,0	0,0			198	99
298	361,262	17,6			198	99
299	1,1	0,0			198	99
300	0,0	0,1			198	99
301	1,0	0,0			198	99
302	22,6	0,0			198	99
303	0,3	48,158			172	99
304	1,0	0,0			169	99
305	2,0	0,1			198	99
306	0,1	3,0			198	99
307	22,50	63,171			170	99
308	10,10	38,60			198	99
309	3,6	44,62			198	99
310	0,1	46,86			198	99
311	16,56	0,0			198	99
312	6,1	291,131			198	99
313	4,13	0,0			198	99
314	52,105	0,2			198	99
315	0,0	0,0			198	99
316	3,4	0,1			198	99
317	18,4	110,109			198	99
318	22,20	410,355			198	99
319	34,11	898,580			198	99
320	576,410	32,23			198	99
321	209,155	796,528			198	99
322	938,584	13,6			198	99
323	21,10	2406,1982			196	99
324	7,5	0,4			198	99
325	227,206	1,0			198	99
326	233,211	3,5			198	99
327	0,0	0,0			198	99
328	31,23	1,0			198	99
329	32,20	1175,673			198	99
330	4,19	0,0			198	99
331	38,42	15,7			198	99
332	33,26	2,3			176	99
333	45,33	3,4			198	99
334	1,1	8,19			198	99
335	0,0	0,0			198	99
336	0,0	0,0			198	99
337	4,5	0,1			198	99
338	2220,1537	2,0			198	99
339	0,0	0,0			198	99
340	158,134	0,0			198	99
341	5,6	4,2			198	99
342	161,134	0,0			198	99
343	129,119	0,0			198	99
344	8,6	619,418			198	99
345	9,5	730,495			198	99
346	14,9	1147,745			198	99
347	175,97	251,185			198	99
348	26,13	3599,2354			198	99
349	9,1	17,4			198	99
350	1,1	62,37			198	99
351	0,0	0,0			198	99
352	0,0	0,0			198	99
353	2,11	0,1			198	99
354	3,0	64,42			198	99
355	6,1	1,3			198	99
356	15,8	28,21			198	99
357	30,31	52,40			198	99
358	57,23	89,60			184	99
359	12,5	495,391			198	99
360	120,74	608,537			198	99
361	7,33	0,3			198	99
362	4,8	9,4			198	99
363	1,4	8,6			198	99
364	0,0	0,0			198	99
365	0,0	0,0			198	99
366	0,0	0,0			99	99
367	23,78	917,1198			198	99
368	0,0	0,1			198	99
369	18,12	1091,905			198	99
370	740,649	522,385			198	99
371	75,85	0,0			198	99
372	4,18	18,44			198	99
373	49,89	0,0			198	99
374	47,80	3,42			198	99
375	49,79	0,2			198	99
376	52,81	0,1			198	99
377	15,9	47,57			198	99
378	0,0	0,0			198	99
379	0,0	0,0			198	99
380	38,16	420,198			198	99
381	11,16	129,122			175	99
382	0,0	0,0			198	99
383	96,76	5,14			186	99
384	0,0	0,0			198	99
385	0,0	0,0			184	99
386	0,0	0,0			198	99
387	0,0	0,0			198	99
388	21,15	43,39			198	99
389	0,1	0,0			198	99
390	4,1	2,2			198	99
391	0,0	0,0			198	99
392	0,0	0,0			198	99
393	0,0	0,0			198	99
394	0,0	0,0			198	99
395	0,0	0,0			198	99
396	0,0	0,0			198	99
397	0,0	0,0			198	99
