ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
221	85,80	691,431			198	198
222	35,24	28,20			185	183
223	10,3	11,6			198	182
224	4,9	278,208			173	197
225	15,25	276,212			198	197
226	43,34	93,76			198	162
227	5,2	189,157			153	198
228	73,62	36,32			189	198
229	67,65	36,32			194	198
230	36,24	17,19			198	147
231	335,234	311,187			198	190
232	237,144	311,187			198	190
233	372,223	4,0			198	198
234	256,142	5,1			198	137
235	372,223	6,2			198	137
236	3,7	4,0			198	198
237	34,11	0,0			198	198
238	4,8	3,3			191	176
239	4,15	33,20			198	198
240	3483,2044	1354,966			198	198
241	0,0	0,0			198	198
242	489,454	5821,4268			135	198
243	103,56	481,378			198	198
244	235,152	504,392			198	198
245	355,273	481,376			174	198
246	96,55	588,418			181	198
247	356,266	359,267			174	198
248	565,400	97,55			174	181
249	168,149	4,2			198	198
250	245,242	671,370			153	198
251	576,376	258,189			198	150
252	447,325	530,460			165	196
253	760,492	656,475			198	165
254	536,421	634,484			166	198
255	0,0	26,9			174	198
256	132,218	166,426			198	198
257	284,219	326,180			198	182
258	463,282	392,241			182	198
259	397,211	10,10			198	193
260	397,211	489,300			198	198
261	1117,984	641,668			198	198
262	1261,762	1912,1711			159	192
263	1261,762	160,155			159	192
264	1862,1377	2383,2035			192	198
265	1325,994	2698,1846			198	198
266	1316,992	13,11			198	198
267	2713,1378	1620,1167			198	198
268	2753,1878	1902,1450			198	183
269	592,430	3074,1850			132	198
270	29,14	28,17			198	198
271	31,87	283,301			169	198
272	3,2	572,445			198	198
273	353,298	586,454			198	198
274	513,340	263,185			198	198
275	510,350	45,49			198	198
276	500,336	295,244			198	198
277	614,493	149,125			198	169
278	215,154	338,292			169	198
279	43,36	227,166			133	198
280	8,9	142,95			111	198
281	36,36	13,8			198	190
282	123,79	126,99			198	198
283	560,571	254,325			198	198
284	214,202	146,108			198	198
285	87,78	144,63			198	198
286	92,54	88,80			198	198
287	1,0	4185,3185			137	166
288	1386,902	4185,3185			166	166
289	3044,2010	1934,1255			187	166
290	1386,902	1,0			166	137
291	0,0	0,0			170	177
292	0,0	0,0			177	143
293	0,0	0,0			177	154
294	0,0	0,0			143	154
295	0,0	0,0			178	198
296	0,0	0,0			198	154
297	0,0	2,2			134	198
298	0,0	1,5			134	198
299	0,0	0,0			198	170
300	454,381	12,6			198	198
301	0,0	0,0			171	168
302	6,3	0,0			198	198
303	240,165	261,260			198	180
304	140,95	260,264			198	180
305	0,0	0,0			198	157
306	44,59	6,10			153	172
307	26,21	294,164			172	198
308	185,131	303,171			172	198
309	35,35	303,171			198	198
310	35,35	185,131			198	172
311	36,34	441,345			198	172
312	252,225	635,341			198	198
313	50,55	95,70			137	188
314	136,99	92,70			195	188
315	342,269	32,16			198	198
316	13,10	361,246			122	198
317	367,263	15,4			198	198
318	368,263	250,166			198	198
319	141,71	4,5			198	198
320	23,22	509,286			198	198
321	0,0	2,3			198	198
322	1220,607	2,3			195	198
323	1220,607	0,0			195	198
324	569,380	735,372			198	167
325	226,157	240,153			198	198
326	0,0	0,0			165	198
327	4499,3087	3416,1852			198	198
328	55,48	219,177			198	198
329	472,342	13,14			198	147
330	553,402	777,489			198	198
331	0,0	0,0			195	192
332	0,0	0,0			198	195
333	0,0	0,0			162	198
334	0,0	0,0			198	198
335	0,0	0,0			196	198
336	0,0	0,0			196	198
337	414,280	370,209			198	198
338	446,294	147,126			198	198
339	0,0	0,0			198	172
340	11,7	5,1			198	198
341	165,96	8,5			198	198
342	10,5	8,5			198	198
343	1,3	20,84			198	198
344	96,64	42,35			156	132
345	338,517	756,656			198	198
346	11,7	0,0			189	197
347	1,0	0,1			198	198
348	84,128	175,282			198	198
349	0,0	0,0			198	134
350	0,0	0,0			198	198
351	0,0	0,0			184	148
352	0,0	0,0			184	198
353	0,0	0,0			148	198
354	0,0	0,0			148	163
355	0,0	0,0			198	198
356	0,0	0,0			198	198
357	0,0	0,0			198	198
358	0,0	0,0			198	198
359	0,0	0,0			198	198
360	41,29	6,5			111	198
361	260,210	424,196			198	180
362	1488,744	1050,554			198	198
363	748,651	2029,1663			157	175
364	199,190	194,146			198	198
365	152,137	186,94			198	180
366	149,140	42,35			198	180
367	30,13	0,1			198	136
368	0,0	0,0			198	173
369	6,2	4,3			136	198
370	6,2	3,0			136	198
371	6,2	4,3			136	198
372	6,2	7,1			136	137
373	4,3	7,1			198	137
374	0,0	0,0			198	198
375	3,2	0,0			137	198
376	64,61	65,46			198	198
377	928,715	676,433			195	168
378	1836,1200	41,29			195	180
379	176,127	924,480			125	195
380	172,122	101,48			125	195
