ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	0,0	0,0			267	99
1	0,0	0,0			276	99
2	0,0	0,0			338	99
3	0,0	0,0			258	99
4	0,0	0,0			252	99
5	0,0	0,0			360	99
6	0,0	0,0			378	99
7	0,0	0,0			585	99
8	0,0	0,0			3470	99
9	0,4	19,14			267	99
10	0,4	7,4			276	99
11	18,24	15,7			338	99
12	10,13	11,4			258	99
13	185,122	1510,874			588	99
14	0,0	0,1			338	99
15	43,108	9,20			196	99
16	212,253	20,34			186	99
17	237,135	1707,1053			313	99
18	0,0	3,2			177	99
19	105,90	2159,1197			299	99
20	17,29	42,118			200	99
21	22,41	50,53			205	99
22	2,1	2,2			358	99
23	7,2	2,3			287	99
24	4,2	0,0			218	99
25	2,0	1,3			206	99
26	2,1	0,0			441	99
27	0,1	5,0			410	99
28	1,0	0,0			323	99
29	156,158	60,45			1132	99
30	0,0	0,0			199	99
31	0,0	0,0			249	99
32	1,0	0,0			254	99
33	1,0	1,0			326	99
34	2,13	144,102			1365	99
35	12,13	0,0			205	99
36	13,10	32,38			774	99
37	0,0	0,0			100	99
38	2,0	0,0			481	99
39	2,0	1,0			745	99
40	0,0	0,0			241	99
41	0,0	0,0			1959	99
42	0,0	0,0			194	99
43	0,0	0,0			1361	99
44	0,0	0,0			1328	99
45	1,1	1,1			224	99
46	127,88	40,25			297	99
47	0,0	0,0			177	99
48	108,49	0,0			100	99
49	458,245	0,0			100	99
50	240,190	0,0			101	99
51	284,185	0,0			223	99
52	0,0	0,0			135	99
53	780,510	1,1			222	99
54	0,0	0,0			1777	99
55	0,0	0,0			238	99
56	17,9	0,0			325	99
57	173,74	278,208			316	99
58	300,229	0,0			100	99
59	23,26	1,0			376	99
60	0,0	0,0			4392	99
61	1,0	217,219			217	99
62	22,13	34,27			208	99
63	95,39	0,0			233	99
64	182,98	0,6			609	99
65	0,0	0,0			283	99
66	12651,7694	106,92			3370	99
67	758,582	1905,1572			629	99
68	1,0	124,70			322	99
69	7,3	0,0			100	99
70	2,3	135,88			307	99
71	6,11	0,2			301	99
72	6,11	0,0			315	99
73	6,11	0,2			320	99
74	31,28	151,146			473	99
75	0,0	0,0			299	99
76	28,18	44,29			266	99
77	41,36	0,0			228	99
78	2,2	0,0			1231	99
79	0,0	2,0			826	99
80	5,8	0,2			516	99
81	0,2	0,0			100	99
82	6,14	0,0			2129	99
83	221,133	0,0			153	99
84	509,298	0,0			213	99
85	324,292	0,0			240	99
86	14,20	80,54			289	99
87	0,0	0,0			510	99
88	0,0	0,0			487	99
89	0,0	0,0			213	99
90	0,3	211,130			326	99
91	4,10	82,72			306	99
92	0,0	0,0			3652	99
93	7,5	63,90			191	99
94	116,60	1,1			552	99
95	50,23	561,826			185	99
96	1674,1267	24,26			446	99
97	71,48	555,523			313	99
98	20,20	540,548			231	99
99	76,35	260,128			795	99
100	64,29	0,0			687	99
101	57,32	85,109			192	99
102	253,178	63,92			431	99
103	5,12	64,89			209	99
104	414,335	0,0			201	99
105	67,90	4,31			442	99
106	6,4	35,39			232	99
107	8,8	7,14			489	99
108	29,29	205,225			379	99
109	42,38	677,556			202	99
110	259,214	247,260			290	99
111	0,8	4,5			1345	99
112	3,1	86,65			407	99
113	7,6	103,87			181	99
114	8,8	136,115			290	99
115	802,598	0,0			243	99
116	331,223	15,7			654	99
117	8,3	1,3			159	99
118	12,3	408,282			180	99
119	22,8	310,279			185	99
120	0,0	0,0			292	99
121	31,12	53,50			550	99
122	5,11	33,18			714	99
123	5,11	0,1			718	99
124	378,506	12645,16295			1176	99
125	22,15	35,20			1868	99
126	0,2	26,14			596	99
127	25,21	0,0			339	99
128	2,10	43,30			585	99
129	11,36	3,0			504	99
130	1,35	0,4			252	99
131	0,0	0,1			203	99
132	0,0	0,0			188	99
133	4,12	14,60			206	99
134	10,19	0,2			348	99
135	7,16	23,26			427	99
136	5,5	1,0			381	99
137	78,57	0,0			100	99
138	77,56	0,0			101	99
