ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
221	0,0	0,0			193	99
222	161,141	3,6			413	99
223	3,3	64,40			141	99
224	134,127	3,0			2395	99
225	30,27	966,638			284	99
226	5,7	2,5			183	99
227	187,191	53,65			185	99
228	8466,6405	1,0			425	99
229	336,247	10696,7729			279	99
230	3,29	0,4			378	99
231	0,0	0,0			102	99
232	257,178	1,0			174	99
233	72,173	0,1			102	99
234	0,0	31,74			162	99
235	4,2	84,47			164	99
236	1,0	0,0			166	99
237	10,16	17,14			267	99
238	0,1	0,0			123	99
239	15,9	1,0			229	99
240	0,0	3,1			129	99
241	64,50	4724,2941			161	99
242	33,18	0,0			144	99
243	36,19	0,0			191	99
244	3,1	0,0			146	99
245	0,0	0,0			138	99
246	0,0	0,0			244	99
247	0,1	45,61			118	99
248	44,46	0,0			118	99
249	17,20	39,19			126	99
250	59,46	0,1			221	99
251	81,45	0,1			194	99
252	0,1	50,46			182	99
253	15,14	0,1			104	99
254	0,0	12,7			169	99
255	688,447	14,4			213	99
256	13,13	66,25			102	99
257	194,106	1,0			222	99
258	12,6	1,0			111	99
259	0,0	0,0			143	99
260	0,0	0,0			115	99
261	0,0	0,0			169	99
262	12,14	57,117			148	99
263	125,171	12,14			217	99
264	170,274	12,14			168	99
265	0,0	0,0			177	99
266	2,0	0,0			208	99
267	0,0	0,0			179	99
268	0,5	0,0			288	99
269	0,2	17,5			120	99
270	1,2	36,28			116	99
271	551,359	0,0			168	99
272	221,141	0,0			259	99
273	235,149	6,3			132	99
274	14,7	0,0			185	99
275	27,30	0,0			717	99
276	0,2	2,0			107	99
277	0,0	0,0			121	99
278	0,0	0,0			173	99
279	1,0	200,161			141	99
280	37,30	0,0			134	99
281	90,87	0,0			109	99
282	11,12	1,0			141	99
283	18,17	1,0			263	99
284	15,13	8,8			221	99
285	0,0	0,0			242	99
286	1,0	0,0			201	99
287	0,1	3,5			102	99
288	0,0	1,0			126	99
289	4,2	12,19			102	99
290	18,32	6,3			207	99
291	12,13	0,2			140	99
292	7,12	2,3			102	99
293	6,11	35,31			121	99
294	27,23	2,2			1163	99
295	1,7	81,104			102	99
296	0,0	0,3			102	99
297	111,96	0,0			160	99
298	341,282	2,3			2129	99
299	1607,1245	0,0			2450	99
300	0,0	9,15			120	99
301	3637,2990	1876,1889			120	99
302	860,700	1876,1889			167	99
303	1704,1446	1876,1889			276	99
304	230,150	3007,2440			146	99
305	1074,896	3007,2440			255	99
306	855,760	11,14			208	99
307	44,74	493,433			226	99
308	520,455	2,2			1540	99
309	852,716	2,2			1563	99
310	332,261	0,0			122	99
311	715,614	50,25			703	99
312	6,1	449,270			159	99
313	99,46	349,269			147	99
314	5,6	11,3			167	99
315	1408,1120	0,2			723	99
316	178,123	0,0			122	99
317	5,5	0,0			118	99
318	7,5	0,0			121	99
319	10,7	0,0			124	99
320	2,0	0,0			102	99
321	5,2	0,0			105	99
322	3,2	0,0			102	99
323	167,257	0,1			1526	99
324	112,107	2,1			121	99
325	10,10	6,8			132	99
326	13,11	38,29			132	99
327	15,11	847,637			135	99
328	40,29	847,637			102	99
329	33,13	2,0			340	99
330	0,0	0,0			102	99
331	0,0	0,0			133	99
332	0,0	0,0			345	99
333	0,0	0,0			118	99
334	5,5	269,288			787	99
335	0,0	0,0			126	99
336	20,13	0,0			143	99
337	13,6	0,0			138	99
338	5,1	0,0			185	99
339	1,0	9,5			146	99
340	26,25	0,0			183	99
341	0,0	0,0			132	99
342	1,0	0,0			280	99
343	3,0	0,0			1397	99
344	2,0	0,0			1216	99
345	0,0	0,0			150	99
346	2,0	5,4			106	99
347	64,51	12,6			123	99
348	20,19	14,22			132	99
349	0,2	0,0			119	99
350	0,0	0,0			124	99
351	0,0	2,2			147	99
352	1,0	0,0			392	99
353	0,0	0,0			102	99
354	0,0	0,0			106	99
355	241,193	2,1			2177	99
356	0,2	0,3			102	99
357	0,2	0,0			108	99
358	184,442	0,3			2430	99
359	13,78	309,292			328	99
360	8,2	0,0			251	99
361	0,0	0,0			102	99
362	43,84	7,9			321	99
363	4,11	0,0			131	99
364	0,2	4,0			257	99
365	0,0	0,0			102	99
366	0,0	0,0			289	99
367	12,2	1,1			159	99
368	0,0	0,0			137	99
369	0,0	0,1			118	99
370	1,2	0,1			282	99
371	2,4	2,1			130	99
372	73,31	0,0			747	99
373	108,93	0,0			220	99
374	0,1	0,0			157	99
375	3,0	0,0			108	99
376	10,5	274,290			293	99
377	36,46	0,0			462	99
378	0,0	0,0			152	99
379	0,0	0,0			231	99
380	0,0	0,0			178	99
381	20,5	0,1			148	99
382	24,4	6,6			148	99
383	26,15	56,41			148	99
384	143,106	0,0			2731	99
385	63,54	0,1			210	99
386	1,2	51,38			121	99
387	0,0	0,0			106	99
388	82,70	284,186			152	99
389	282,218	0,1			178	99
390	11,2	0,0			890	99
391	0,0	0,0			855	99
392	5,5	0,0			2346	99
393	291,177	72,48			165	99
394	204,191	2,0			113	99
395	372,292	276,211			102	99
396	512,314	3,1			129	99
397	0,0	0,0			110	99
398	0,0	0,0			170	99
399	0,0	0,0			143	99
400	0,0	0,0			114	99
401	0,0	0,0			121	99
402	0,0	0,0			133	99
403	0,0	0,0			133	99
404	0,0	0,0			103	99
405	0,0	0,0			122	99
406	1290,820	15,6			1145	99
407	1232,780	30,17			1145	99
408	2,4	0,1			347	99
409	7,1	0,0			138	99
410	0,1	10,7			133	99
411	0,2	155,91			117	99
412	0,0	0,0			180	99
413	1,0	0,1			134	99
414	1,5	0,1			177	99
415	4,7	123,86			249	99
416	3,3	123,86			171	99
417	2,5	44,62			220	99
418	2,3	19,72			152	99
419	2,6	0,0			156	99
420	19,75	0,0			103	99
421	0,2	133,47			193	99
422	0,0	0,0			102	99
423	0,0	0,0			135	99
424	0,0	0,0			181	99
425	0,0	0,0			124	99
426	162,141	4,1			105	99
427	0,0	0,0			153	99
428	237,175	1,3			135	99
429	0,0	0,0			432	99
430	0,0	0,0			435	99
431	0,0	0,0			102	99
432	0,0	0,0			103	99
433	2,1	0,0			321	99
434	0,0	0,0			137	99
435	1,1	0,0			102	99
436	23,13	944,637			118	99
437	1213,863	3,0			585	99
438	1155,1029	697,551			102	99
439	105,121	638,608			102	99
440	28,22	0,0			110	99
441	111,122	1,1			109	99
442	4,4	1,4			150	99
443	5,5	1,4			183	99
444	3,2	2,1			132	99
445	2501,1398	1,0			183	99
446	2253,1144	1,0			1192	99
447	0,0	0,0			105	99
448	0,0	0,0			111	99
449	0,0	0,0			105	99
450	0,0	0,0			129	99
451	0,0	0,0			104	99
452	3,0	0,0			104	99
453	28,40	0,0			613	99
454	13,29	0,0			613	99
455	2,1	17,18			121	99
456	5,2	934,511			121	99
457	14453,10340	2,6			4654	99
458	4,1	25,17			147	99
459	1326,673	0,0			105	99
460	157,62	680,378			117	99
461	16,9	0,2			117	99
462	745,495	247,166			174	99
463	169,144	0,1			174	99
464	0,0	0,1			152	99
465	0,0	0,0			129	99
466	158,100	0,0			186	99
467	14,10	77,50			150	99
468	24,24	9,17			104	99
469	0,0	0,0			102	99
470	40206,27704	2,0			3594	99
471	7,6	0,0			179	99
472	11,8	619,418			179	99
473	4,2	0,0			234	99
474	4,3	56,34			251	99
475	0,1	56,34			116	99
476	21,13	0,0			103	99
477	8,14	519,369			130	99
478	29,27	3,5			134	99
479	540,382	3,5			103	99
480	705,495	0,0			116	99
481	1,0	901,589			119	99
482	19,14	678,523			119	99
483	0,2	1,0			135	99
484	0,2	0,0			1053	99
485	0,2	0,0			1091	99
486	0,0	0,0			137	99
487	0,0	0,0			3853	99
488	12,32	0,0			114	99
489	0,1	96,136			171	99
490	0,0	0,0			194	99
491	0,0	0,0			102	99
492	5679,2880	0,0			221	99
493	34,16	3599,2354			134	99
494	1844,1336	0,2			429	99
495	12,13	128,133			157	99
496	6,20	0,1			114	99
497	14,25	2,1			114	99
498	4,13	1,0			114	99
499	5,14	0,2			114	99
500	2,0	51,44			115	99
501	25,33	1,1			156	99
502	74,77	1,1			140	99
503	0,0	0,0			156	99
504	0,0	0,0			102	99
505	0,0	0,0			108	99
