gene_symbol$transcript_id$relative_likelihood$best_order$number_of_orders_have_same_prob$percent_coverage_order_pair$disorder_p_value$spearman_rho$spearman_rho_abs$spearman_p_value
tup12$SPAC630.14c.1$-0.889720991149705$2,3,1$1$1$-1.70606967457726$-0.5$0.5$1
ypp1$SPAC637.04.1$-0.669049628980885$2,1$1$1$-0.891614198476317$-1$1$1
bet3$SPAC644.18c.1$-0.797287439812542$1,3,2$1$1$-90.5270509349754$0.5$0.5$1
bfr2$SPAC664.08c.1$-2.81626378574244$3,1,2$1$1$-4.28700063957171$-0.5$0.5$1
mis14$SPAC688.02c.1$0$1,2$1$1$-1.15588957043771$1$1$1
set13$SPAC688.14.1$-6.08904487544685$2,3,1$1$1$-2.12825003950807$-0.5$0.5$1
rps2502$SPAC694.05c.1$-3.92209556325696$2,1$1$1$-252.823935081211$-1$1$1
cpc2$SPAC6B12.15.1$0$1,2$1$1$-5.00735299014261$1$1$1
tom20$SPAC6F12.07.1$-12.3418495376735$3,2,1$1$1$-50.5114700604418$-1$1$0.333333333333333
fps1$SPAC6F12.13c.1$0$1,2$1$1$-1.5764183478317$1$1$1
cut9$SPAC6F12.15c.1$0$1,2$2$1$0$1$1$1
rps13$SPAC6F6.07c.1$-6.42501652342478$3,1,2$1$1$-36369.0752401928$-0.5$0.5$1
cdc16$SPAC6F6.08c.1$-1.08221847889243$1,3,2$1$1$-2.15027049249188$0.5$0.5$1
atg24$SPAC6F6.12.1$0$1,2$1$1$-6.26189267861104$1$1$1
pre5$SPAC6G10.04c.1$-0.33085424431699$1,3,2$1$1$-1.76272013603524$0.5$0.5$1
SPAC6G9.01c$SPAC6G9.01c.1$0$1,2$2$1$0$1$1$1
arc4$SPAC6G9.07c.1$-0.498813467317987$1,3,2$1$1$-8.02345314197071$0.5$0.5$1
vma11$SPAC732.01.1$-8.15545091922101$4,1,3,5,2$1$1$-56.2159622487513$0$0$1
SPAC7D4.05$SPAC7D4.05.1$-1.53393035992596$2,1$1$1$-2.42770016378926$-1$1$1
tif38$SPAC821.05.1$-0.284931039079891$2,1$1$1$-0.669454404560622$-1$1$1
orb6$SPAC821.12.1$0$1,2$2$1$0$1$1$1
ptf1$SPAC823.14.1$-0.620096011674989$1,3,2$1$1$-123.060437550612$0.5$0.5$1
vps16$SPAC824.05.1$-15.1366478066584$2,3,4,1$2$1$-72.177092720193$-0.2$0.2$0.916666666666667
tim14$SPAC824.06.1$0$1,2$1$1$-46.1806744733969$1$1$1
SPAC824.09c$SPAC824.09c.1$-7.27749899869763$3,1,4,2$1$1$-15.7980850535511$0$0$1
ppk16$SPAC890.03.1$-1.00425875853725$3,1,2$1$1$-3.86276796097887$-0.5$0.5$1
nup155$SPAC890.06.1$-0.397301797469003$2,1$1$1$-0.642881662643577$-1$1$1
SPAC8C9.05$SPAC8C9.05.1$-20.7644823884425$4,5,6,3,1,2$1$1$-85.5192479630168$-0.714285714285714$0.714285714285714$0.136111111111111
rrp14$SPAC8C9.10c.1$-0.827297193680534$2,1$1$1$-3.82627836288429$-1$1$1
fra2$SPAC8C9.11.1$-0.549107810337008$2,1$1$1$-1.01404725422895$-1$1$1
prr1$SPAC8C9.14.1$-8.2219443516694$3,1,4,2$2$1$-100.392486697178$0$0$1
tif225$SPAC8C9.15c.1$-2.93113603069283$3,1,2$1$1$-7.83501796747918$-0.5$0.5$1
SPAC8C9.19$SPAC8C9.19.1$0$1,2$1$1$-1.18090454668385$1$1$1
SPAC8E11.06$SPAC8E11.06.1$-1.87810925175095$2,1$1$1$-55.2210235378638$-1$1$1
alp31$SPAC8E11.07c.1$0$1,2$1$1$-1.1622279913311$1$1$1
dph3$SPAC8F11.02c.1$-0.180670028755482$2,1,3$1$1$-15.7672992768232$0.5$0.5$1
SPAC9.07c$SPAC9.07c.1$0$1,2$1$1$-2.22768475370466$1$1$1
dlc2$SPAC926.07c.1$-4.80629852852057$4,1,3,2$1$1$-23.6141710699912$-0.4$0.4$0.75
sec17$SPAC959.02.1$-6.47850964220857$3,2,1$1$1$-25.3099681089472$-1$1$0.333333333333333
omh6$SPAC959.04c.1$0$1,2$1$1$-1.30606938532732$1$1$1
swc4$SPAC9G1.13c.1$-7.78174565136558$2,3,1$1$1$-20.104781860907$-0.5$0.5$1
SPACUNK4.13c$SPACUNK4.13c.1$0$1,2$1$1$-11.3552072256322$1$1$1
bos1$SPAP14E8.03.1$0$1,2$1$1$-47.1149249848969$1$1$1
vas2$SPAP27G11.06c.1$0$1,2$2$1$0$1$1$1
SPAP27G11.12$SPAP27G11.12.1$-6.23754811757391$3,2,1$1$1$-30.3801495853284$-1$1$0.333333333333333
gua2$SPAP7G5.02c.1$-1.77249105036218$2,1$1$1$-27.4225728610225$-1$1$1
cdc4$SPAP8A3.08.1$-4.08451631573851$3,4,1,2$1$1$-8.37081306444292$-0.6$0.6$0.416666666666667
yip12$SPAPB17E12.02.1$-3.04452243772342$2,1$1$1$-2.22768475370466$-1$1$1
SPAPB17E12.03$SPAPB17E12.03.1$0$1,2$1$1$-4.72951003031833$1$1$1
eos1$SPAPB17E12.08.1$-0.669049628980885$2,1$1$1$-0.891614198476317$-1$1$1
SPAPB17E12.10c$SPAPB17E12.10c.1$0$1,2$1$1$-2.08190816860397$1$1$1
ypt71$SPAPB1A10.10c.1$0$1,2$1$1$-0.381366076319844$1$1$1
arv1$SPAPB1A10.15.1$-0.389464766761723$2,1$1$1$-0.424836659504675$-1$1$1
mcl1$SPAPB1E7.02c.1$0$1,2$1$1$-1.79889198329438$1$1$1
eme1$SPAPB1E7.06c.1$0$1,2$1$1$-1.79889198329438$1$1$1
iec5$SPAPB1E7.14.1$-1.31567679390594$2,1$1$1$-1.79889198329438$-1$1$1
SPAPB2B4.06$SPAPB2B4.06.1$-7.96241568012106$2,3,1$1$1$-19.5340428987177$-0.5$0.5$1
SPAPB8E5.10$SPAPB8E5.10.1$-3.43398720448515$2,1$1$1$-3.07127391066654$-1$1$1
SPAPJ691.03$SPAPJ691.03.1$0$1,2$1$1$-3.00247302011637$1$1$1
lsb4$SPAPJ696.02.1$-0.401341390924302$2,1$1$1$-0.995599380484965$-1$1$1
rpb9$SPAPYUG7.04c.1$-8.59989826120241$3,4,2,1$1$1$-25.6837750477012$-0.8$0.8$0.333333333333333
tim11$SPBC106.05c.1$-2.28038936060226$2,1$1$1$-19.1126721675044$-1$1$1
tho4$SPBC106.12c.1$-13.3846694721195$4,3,2,1$1$1$-7.39441144407275$-1$1$0.0833333333333333
idi1$SPBC106.15.1$0$1,2$1$1$-1.30606938532732$1$1$1
SPBC1105.01$SPBC1105.01.1$0$1,2$1$1$-3.87792102055748$1$1$1
rpn3$SPBC119.01.1$-0.323299708064674$2,1$1$1$-0.999306335793188$-1$1$1
ubc4$SPBC119.02.1$0$1,2$1$1$-3.99334864364516$1$1$1
pmk1$SPBC119.08.1$-1.76450982678068$1,3,2$1$1$-5.55229727113773$0.5$0.5$1
npa3$SPBC119.15.1$0$1,2$1$1$-1.83178672335658$1$1$1
slm5$SPBC1198.10c.1$-0.906405972641613$2,1$1$1$-3.08080277930523$-1$1$1
ivn1$SPBC11B10.07c.1$-0.747214401830221$2,1$1$1$-2.67790936924312$-1$1$1
ndc80$SPBC11C11.03.1$-1.83067488547773$2,1$1$1$-5.92071811748492$-1$1$1
srp1$SPBC11C11.08.1$0$1,2$1$1$-13.6709091934989$1$1$1
SPBC11C11.11c$SPBC11C11.11c.1$-30.0608480098883$5,2,3,4,1$1$1$-61.5622027151856$-0.6$0.6$0.35
end3$SPBC11G11.02c.1$0$1,2$1$1$-1.15588957043771$1$1$1
trs20$SPBC11G11.04.1$-3.34342762743942$3,1,2$1$1$-17.6472577075019$-0.5$0.5$1
sme1$SPBC11G11.06c.1$-1.08917825643475$3,1,2$2$1$-4.72479349655319$-0.5$0.5$1
SPBC1271.04c$SPBC1271.04c.1$-3.04452243772342$2,1$1$1$-2.22768475370466$-1$1$1
pet802$SPBC1271.11.1$-9.15225259483929$4,1,2,3$1$1$-75.3557157131341$-0.2$0.2$0.916666666666667
uap2$SPBC1289.02c.1$0$1,2$1$1$-2.22768475370466$1$1$1
spi1$SPBC1289.03c.1$-1.60331231900742$2,1$1$1$-20.988888675338$-1$1$1
vma10$SPBC1289.05c.1$-3.14034999722445$4,1,2,3$1$1$-107.154786036285$-0.2$0.2$0.916666666666667
SPBC12C2.11$SPBC12C2.11.1$-1.71094006248635$2,1$1$1$-30.2194726722525$-1$1$1
cct1$SPBC12D12.03.1$-0.837886026204857$2,1,3$1$1$-3.41506657535323$0.5$0.5$1
ned8$SPBC12D12.08c.1$-1.45784805346852$1,3,2$1$1$-99.3796213410815$0.5$0.5$1
cki1$SPBC1347.06c.1$-2.14721415676156$2,1$1$1$-16.064722932016$-1$1$1
rex2$SPBC1347.07.1$-4.53524662421795$3,4,1,2$1$1$-17.4802658510135$-0.6$0.6$0.416666666666667
cbc2$SPBC13A2.01c.1$0$1,2$2$1$0$1$1$1
SPBC13A2.03$SPBC13A2.03.1$-0.995958134608026$2,1$1$1$-2.72807154467526$-1$1$1
mpg2$SPBC13G1.02.1$0$1,2$1$1$-6.15103028687179$1$1$1
SPBC13G1.14c$SPBC13G1.14c.1$-3.2886425903703$2,1$1$1$-49.098506822178$-1$1$1
med15$SPBC146.01.1$-1.57059807911784$2,1$1$1$-4.14463603706358$-1$1$1
ilv6$SPBC14C8.04.1$-3.00026742871938$3,1,2$1$1$-3.7123507126736$-0.5$0.5$1
rpb8$SPBC14C8.12.1$0$1,2$1$1$-0.270624726410279$1$1$1
tam10$SPBC14C8.19.1$-0.286496535857679$1,3,2$1$1$-39.6104684051718$0.5$0.5$1
doa10$SPBC14F5.07.1$0$1,2,3$2$1$-3.36973524497322$1$1$0.333333333333333
fmd1$SPBC1539.07c.1$0$1,2$1$1$-7.89172109854934$1$1$1
arf6$SPBC1539.08.1$-7.10469173812717$2,4,1,3$1$1$-29.5805990546974$0$0$1
oca3$SPBC15C4.01c.1$-6.24085088831485$2,3,4,1$1$1$-1.09802322017517$-0.2$0.2$0.916666666666667
klp9$SPBC15D4.01c.1$-2.39789527279837$2,1$1$1$-1.30606938532732$-1$1$1
SPBC15D4.11c$SPBC15D4.11c.1$0$1,2$1$1$-2.42770016378926$1$1$1
SPBC15D4.13c$SPBC15D4.13c.1$-2.59383223161032$2,1$1$1$-15.3504725963233$-1$1$1
pho2$SPBC15D4.15.1$0$1,2$1$1$-0.394024067205009$1$1$1
srb7$SPBC1604.10.1$0$1,2,3$1$1$-35.6182474719594$1$1$0.333333333333333
cmp7$SPBC1604.18c.1$0$1,2$1$1$-5.43262951750031$1$1$1
ptr3$SPBC1604.21c.1$0$1,2$1$1$-4.60869597204092$1$1$1
cha4$SPBC1683.13c.1$-7.92482702432436$3,2,1$1$1$-18.0473168009909$-1$1$0.333333333333333
sec11$SPBC1685.03.1$-3.04452243772342$2,1$1$1$-2.22768475370466$-1$1$1
rps29$SPBC1685.09.1$0$1,2$1$1$-0.0694732089162116$1$1$1
rps27$SPBC1685.10.1$-0.808792823875236$2,1$1$1$-34.2263322106601$-1$1$1
SPBC1685.14c$SPBC1685.14c.1$-0.279584862219161$2,1$1$1$-0.349435069045904$-1$1$1
vma9$SPBC1685.16.1$-1.75349925560834$2,1,3$1$1$-828.01878669711$0.5$0.5$1
spn3$SPBC16A3.01.1$-0.504246652667948$2,1$1$1$-1.15588957043771$-1$1$1
rae1$SPBC16A3.05c.1$0$1,2$1$1$-1.3664705878717$1$1$1
tad1$SPBC16A3.06.1$-0.646627164925053$1,3,2$1$1$-4.751440765308$0.5$0.5$1
oga1$SPBC16A3.08c.1$-4.51085950651685$2,1$1$1$-7.68895467599084$-1$1$1
ufd1$SPBC16A3.09c.1$-8.66223686364057$4,1,3,2$2$1$-36.3163433607024$-0.4$0.4$0.75
eaf7$SPBC16A3.19.1$0$1,2$2$1$0$1$1$1
SPBC16C6.03c$SPBC16C6.03c.1$-4.51085950651685$2,1$1$1$-7.68895467599084$-1$1$1
rpt1$SPBC16C6.07c.1$0$1,2$1$1$-5.92071811748492$1$1$1
SPBC16E9.02c$SPBC16E9.02c.1$-1.18113331235611$2,1$1$1$-3.07538288923036$-1$1$1
pab2$SPBC16E9.12c.1$-0.283575290499128$1,3,2$1$1$-0.733870208516955$0.5$0.5$1
SPBC16E9.15$SPBC16E9.15.1$0$1,2,3$1$1$-31.7184905326164$1$1$0.333333333333333
scs2$SPBC16G5.05c.1$0$1,2$1$1$-22.2055045553295$1$1$1
SPBC16G5.16$SPBC16G5.16.1$-0.46813621507094$2,1$1$1$-2.35810069978756$-1$1$1
SPBC16H5.04$SPBC16H5.04.1$-0.686955210312024$2,1$1$1$-2.31050555521822$-1$1$1
cyp7$SPBC16H5.05c.1$-11.8242639111628$3,4,2,1$1$1$-48.8030372578925$-0.8$0.8$0.333333333333333
omh2$SPBC16H5.09c.1$0$1,2,3$1$1$-3.11789513937098$1$1$0.333333333333333
SPBC16H5.12c$SPBC16H5.12c.1$-1.22893340566238$1,3,2$1$1$-17.2545498111473$0.5$0.5$1
SPBC16H5.14c$SPBC16H5.14c.1$0$1,2$2$1$0$1$1$1
mlh1$SPBC1703.04.1$-1.03609193168678$1,3,2$1$1$-4.43894445818039$0.5$0.5$1
SPBC1703.07$SPBC1703.07.1$0$1,2$1$1$-4.41132283436014$1$1$1
ypt1$SPBC1703.10.1$-9.75095326716425$2,3,4,1$1$1$-52.3657663508585$-0.2$0.2$0.916666666666667
SPBC1703.11$SPBC1703.11.1$0$1,2$1$1$-3.06451459115529$1$1$1
ubp9$SPBC1703.12.1$-4.26384320895474$2,3,1$1$1$-23.9995695204159$-0.5$0.5$1
top1$SPBC1703.14c.1$-2.35364026379433$2,1$1$1$-11.506581363294$-1$1$1
wtf2$SPBC1706.02c.1$-2.39789527279837$2,1$1$1$-1.30606938532732$-1$1$1
vrs1$SPBC1709.02c.1$-0.331962646115238$2,1,3$1$1$-35.5840147082065$0.5$0.5$1
cyp3$SPBC1709.04c.1$-15.0317838419797$5,2,4,1,3$1$1$-13.3993096849765$-0.5$0.5$0.45
dus2$SPBC1709.06.1$-3.04452243772342$2,1$1$1$-2.22768475370466$-1$1$1
SPBC1709.17$SPBC1709.17.1$0$1,2$1$1$-2.27144417966398$1$1$1
tif452$SPBC1709.18.1$-0.104261010324409$2,1$1$1$-0.200264401643588$-1$1$1
pop8$SPBC1709.20.1$-0.676886659688165$2,1$1$1$-1.1622279913311$-1$1$1
mtd1$SPBC1711.04.1$-3.20422354808133$2,1$1$1$-17.0499582692486$-1$1$1
trs31$SPBC1718.05.1$0$1,2,3$1$1$-7.32331476178658$1$1$0.333333333333333
suc1$SPBC1734.14c.1$-0.931558204004943$2,1$1$1$-4.4374749816076$-1$1$1
rsc4$SPBC1734.15.1$0$1,2$1$1$-6.32073676251379$1$1$1
far8$SPBC1773.01.1$-3.71357206670431$2,1$1$1$-3.87792102055748$-1$1$1
sbp1$SPBC1773.07c.1$-0.622830682142486$2,1$1$1$-1.95731786350815$-1$1$1
arc3$SPBC1778.08c.1$-0.206207041783312$2,1,3$1$1$-0.390178593664403$0.5$0.5$1
SPBC17A3.02$SPBC17A3.02.1$-1.06635142644989$3,1,2,4$1$1$-9.96987444066352$0.4$0.4$0.75
SPBC17A3.03c$SPBC17A3.03c.1$-0.504246652667948$1,3,2$1$1$-0.639658807354006$0.5$0.5$1
rar1$SPBC17A3.04c.1$-2.39789527279837$2,1$1$1$-6.98127174943344$-1$1$1
SPBC17A3.05c$SPBC17A3.05c.1$0$1,2$1$1$-3.07127391066654$1$1$1
SPBC17A3.08$SPBC17A3.08.1$-7.91216522467226$3,2,1,4$1$1$-8.51443026559862$0.2$0.2$0.916666666666667
SPBC17D1.01$SPBC17D1.01.1$-4.70953020131233$2,1$1$1$-9.16543007141162$-1$1$1
nep1$SPBC17D11.01.1$0$1,2$1$1$-3.00380435343292$1$1$1
SPBC17D11.03c$SPBC17D11.03c.1$0$1,2$2$1$0$1$1$1
spp2$SPBC17D11.06.1$0$1,2,3$1$1$-5.92762478629795$1$1$0.333333333333333
nak1$SPBC17F3.02.1$0$1,2$1$1$-2.22768475370466$1$1$1
prp24$SPBC1861.04c.1$-3.71357206670431$2,1$1$1$-3.87792102055748$-1$1$1
SPBC1861.07$SPBC1861.07.1$-1.71297859137494$2,1,3$1$1$-2.14067410798687$0.5$0.5$1
SPBC18A7.02c$SPBC18A7.02c.1$-1.16246376065464$2,1$1$1$-7.04153063508928$-1$1$1
sce3$SPBC18H10.04c.1$-6.98439844272998$3,1,2$1$1$-480.083265933418$-0.5$0.5$1
swd2$SPBC18H10.06c.1$0$1,2$1$1$-3.07127391066654$1$1$1
ubp4$SPBC18H10.08c.1$-8.62173337069016$2,3,1$1$1$-17.591011885919$-0.5$0.5$1
vps38$SPBC18H10.19.1$-0.828692672556169$2,1$1$1$-1.61118669394193$-1$1$1
mrpl51$SPBC19C2.12.1$0$1,2$1$1$-11.506581363294$1$1$1
smd3$SPBC19C2.14.1$-1.65795291231707$3,2,1$1$1$-5.87279564325311$-1$1$0.333333333333333
SPBC19C7.11$SPBC19C7.11.1$0$1,2,3$1$1$-2.36129660870405$1$1$0.333333333333333
ppp1$SPBC19F5.05c.1$0$1,2$1$1$-19.1792196645436$1$1$1
msh2$SPBC19G7.01c.1$-4.94875989037817$2,1$1$1$-11.3552072256322$-1$1$1
abz2$SPBC19G7.02.1$-0.754599959773609$2,1,3$1$1$-8.31078307535907$0.5$0.5$1
rps3002$SPBC19G7.03c.1$-0.310624853124517$2,1$1$1$-3.55939648283195$-1$1$1
cog5$SPBC19G7.14c.1$-3.04452243772342$2,1$1$1$-2.22768475370466$-1$1$1
SPBC19G7.18c$SPBC19G7.18c.1$-1.31567679390594$2,1$1$1$-1.79889198329438$-1$1$1
tom5$SPBC19G7.19.1$0$1,2$1$1$-1.97539163824083$1$1$1
cct3$SPBC1A4.08c.1$-1.09308741273614$2,1$1$1$-7.83768559011872$-1$1$1
gar1$SPBC20F10.01.1$-0.132644474606295$2,1$1$1$-0.335604842817136$-1$1$1
lsm5$SPBC20F10.09.1$-2.37222815956242$3,1,2$1$1$-4.47986431985247$-0.5$0.5$1
rtc5$SPBC21.02.1$0$1,2$1$1$-30.5804742443359$1$1$1
sap10$SPBC211.05.1$0$1,2$1$1$-1.41162345650485$1$1$1
bob1$SPBC215.02.1$-6.84006340414988$3,1,2$1$1$-16.7148119847012$-0.5$0.5$1
inp2$SPBC21B10.06c.1$-2.31163492851396$2,1$1$1$-6.32073676251379$-1$1$1
vps1301$SPBC21C3.01c.1$0$1,2$1$1$-0.891614198476317$1$1$1
sap62$SPBC21C3.05.1$0$1,2$1$1$-2.22768475370466$1$1$1
spo4$SPBC21C3.18.1$0$1,2$1$1$-3.07127391066654$1$1$1
ucp3$SPBC21D10.05c.1$-4.11087386417331$2,1,3$1$1$-13.94576440553$0.5$0.5$1
sfc6$SPBC21H7.05.1$-3.06694490177926$2,3,1$1$1$-0.642125167951163$-0.5$0.5$1
arx1$SPBC23E6.05.1$-4.39444915467244$2,1$1$1$-6.94364653270241$-1$1$1
rib3$SPBC23E6.06c.1$0$1,2$1$1$-29.0722697464014$1$1$1
rfc1$SPBC23E6.07c.1$-0.533110668555426$3,1,2$2$1$-0.46291945871138$-0.5$0.5$1
ctr6$SPBC23G7.16.1$-1.86478460424294$1,3,2,4$1$1$-37.7366346382274$0.8$0.8$0.333333333333333
cwf14$SPBC24C6.11.1$0$1,2$2$1$0$1$1$1
hbs1$SPBC25B2.01.1$-0.579033873792524$2,1$1$1$-1.26678054187349$-1$1$1
pof2$SPBC25B2.11.1$0$1,2$1$1$-0.739610443725583$1$1$1
cct7$SPBC25H2.12c.1$0$1,2$2$1$0$1$1$1
cox20$SPBC25H2.18.1$-1.14028498506868$2,1$1$1$-9.82308792632801$-1$1$1
pph3$SPBC26H8.05c.1$0$1,2$1$1$-2.22768475370466$1$1$1
cox17$SPBC26H8.14c.1$0$1,2$1$1$-0.764177767071155$1$1$1
ask1$SPBC27.02c.1$-2.39789527279837$2,1$1$1$-1.30606938532732$-1$1$1
mmm1$SPBC27B12.01c.1$-0.669049628980885$2,1$1$1$-0.891614198476317$-1$1$1
SPBC27B12.07$SPBC27B12.07.1$0$1,2$2$1$0$1$1$1
tom7$SPBC27B12.10c.1$-2.58259316739997$1,3,2$1$1$-173.947581623696$0.5$0.5$1
SPBC27B12.14$SPBC27B12.14.1$-0.76432345902784$2,1$1$1$-2.26165178572302$-1$1$1
rga4$SPBC28E12.03.1$-2.25424937100467$3,1,2$1$1$-7.53292829243268$-0.5$0.5$1
toa1$SPBC28F2.09.1$-0.554310735705729$2,1$1$1$-1.61953544133809$-1$1$1
rpb1$SPBC28F2.12.1$-24.3299440725453$6,5,4,1,2,3$1$1$-106.41039189489$-0.771428571428571$0.771428571428571$0.102777777777778
ely5$SPBC29A10.06c.1$0$1,2$2$1$0$1$1$1
vps902$SPBC29A10.11c.1$0$1,2$2$1$0$1$1$1
SPBC29A10.16c$SPBC29A10.16c.1$-1.81188087242748$2,1$1$1$-10.1585829327472$-1$1$1
vps71$SPBC29A3.05.1$-4.26267987704132$2,1,3$1$1$-5.63232862970738$0.5$0.5$1
pof4$SPBC29A3.08.1$0$1,2$1$1$-9.89815455182562$1$1$1
atp14$SPBC29A3.10c.1$-6.54033459377108$1,4,3,2$1$1$-13.1571410080842$0.2$0.2$0.916666666666667
sec22$SPBC2A9.08c.1$-1.96230395883099$3,2,1$1$1$-0.334082943074882$-1$1$0.333333333333333
plp2$SPBC2A9.09.1$-0.279584862219161$2,1$1$1$-0.349435069045904$-1$1$1
iss9$SPBC2A9.11c.1$-1.53393035992596$2,1$1$1$-2.42770016378926$-1$1$1
SPBC2D10.07c$SPBC2D10.07c.1$-3.39223717080701$2,1$1$1$-123.119809485951$-1$1$1
pth1$SPBC2D10.15c.1$-8.8907318076277$3,2,1$1$1$-9.79762778338982$-1$1$0.333333333333333
mhf1$SPBC2D10.16.1$0$1,2$1$1$-1.01404725422895$1$1$1
alb1$SPBC2D10.19c.1$0$1,2$1$1$-10.9788690647046$1$1$1
ubc1$SPBC2D10.20.1$-13.2586217950997$4,1,5,2,3$1$1$-240.239430908795$-0.1$0.1$0.95
SPBC2F12.05c$SPBC2F12.05c.1$-3.26186018567079$2,3,1$2$1$-5.80995755468659$-0.5$0.5$1
cox7$SPBC2F12.17.1$-2.20775099032321$2,1$1$1$-9.61414624442481$-1$1$1
sbh1$SPBC2G2.03c.1$-4.27615779343918$3,2,1$1$1$-49.9399971321235$-1$1$0.333333333333333
apl1$SPBC2G2.06c.1$-6.97634807044775$2,4,1,5,3$2$1$-8.80718919890966$0.3$0.3$0.683333333333333
mrm2$SPBC2G2.15c.1$-9.54545454398782$1,4,2,3$1$1$-42.9125724084312$0.4$0.4$0.75
eri1$SPBC30B4.08.1$-4.79579054559674$3,1,2$1$1$-12.22309067516$-0.5$0.5$1
SPBC30D10.09c$SPBC30D10.09c.1$0$1,2$1$1$-3.87792102055748$1$1$1
rsm27$SPBC30D10.12c.1$0$1,2$1$1$-10.4672613875217$1$1$1
hub1$SPBC31E1.03.1$-0.466283848143204$2,1$1$1$-1.4388029607258$-1$1$1
sar1$SPBC31F10.06c.1$0$1,2$1$1$-37.1592333785764$1$1$1
hip1$SPBC31F10.13c.1$-6.76854794468824$4,1,2,3$1$1$-7.87290518711688$-0.2$0.2$0.916666666666667
cwf12$SPBC32F12.05c.1$-3.71357206670431$2,1$1$1$-3.87792102055748$-1$1$1
SPBC32F12.12c$SPBC32F12.12c.1$-4.57845279764938$3,1,2$1$1$-4.63222576435174$-0.5$0.5$1
SPBC32H8.01c$SPBC32H8.01c.1$-5.83188247728352$2,1$1$1$-25.6378905301888$-1$1$1
SPBC32H8.04c$SPBC32H8.04c.1$0$1,2$1$1$-3.87792102055748$1$1$1
wdr8$SPBC32H8.09.1$-5.19849703126583$2,1$1$1$-14.2447352490117$-1$1$1
cdk9$SPBC32H8.10.1$0$1,2$1$1$-15.3504725963233$1$1$1
spc24$SPBC336.08.1$0$1,2$1$1$-3.07127391066654$1$1$1
SPBC336.13c$SPBC336.13c.1$0$1,2$1$1$-11.3552072256322$1$1$1
rhn1$SPBC337.03.1$0$1,2,3$1$1$-4.34740171830691$1$1$0.333333333333333
cct8$SPBC337.05c.1$-5.83188247728352$2,1,3$1$1$-37.0282243919126$0.5$0.5$1
erg28$SPBC337.09.1$0$1,2$1$1$-3.82627836288429$1$1$1
red5$SPBC337.12.1$0$1,2$1$1$-1.75228357179237$1$1$1
rpb4$SPBC337.14.1$-5.63981172515543$2,3,1$1$1$-63.675977968614$-0.5$0.5$1
alg6$SPBC342.01c.1$0$1,2$1$1$-3.87792102055748$1$1$1
rpn1301$SPBC342.04.1$0$1,2$1$1$-2.5708858560698$1$1$1
gtp1$SPBC354.01.1$-4.73769497459576$3,2,1$1$1$-3.78956319929061$-1$1$0.333333333333333
sec61$SPBC354.02c.1$-8.85856607536383$1,4,5,3,2$1$1$-25.0539143291202$0.1$0.1$0.95
mrps16$SPBC354.06.1$0$1,2$1$1$-0.200264401643588$1$1$1
SPBC354.07c$SPBC354.07c.1$-9.13331307484918$1,4,3,2$1$1$-461.891163792024$0.2$0.2$0.916666666666667
spo9$SPBC36.06c.1$-4.26267987704132$1,3,2$1$1$-20.8794696108302$0.5$0.5$1
cog2$SPBC36.08c.1$0$1,2$1$1$-14.7053678895622$1$1$1
der1$SPBC365.08c.1$-1.03609193168678$2,1$1$1$-1.18090454668385$-1$1$1
uge1$SPBC365.14c.1$0$1,2$1$1$-37.1165050345276$1$1$1
sec63$SPBC36B7.03.1$-0.497838428239179$2,1$1$1$-0.739610443725583$-1$1$1
php5$SPBC3B8.02.1$-1.69459572077441$2,1$1$1$-15.6338496762871$-1$1$1
SPBC3B8.04c$SPBC3B8.04c.1$0$1,2,3$1$1$-37.8801235381249$1$1$0.333333333333333
hot15$SPBC3B9.05.1$0$1,2$2$1$0$1$1$1
atg3$SPBC3B9.06c.1$0$1,2$1$1$-12.8034069225294$1$1$1
rpa43$SPBC3B9.07c.1$-2.97407077677281$2,1$1$1$-23.8475784618509$-1$1$1
mnh1$SPBC3B9.08c.1$-19.0513515147577$5,3,2,4,6,1$1$1$-283.791756526135$-0.257142857142857$0.257142857142857$0.658333333333333
rpp102$SPBC3B9.13c.1$-0.940118067954713$2,1$1$1$-6.47003547845804$-1$1$1
mrpl3$SPBC3B9.14c.1$0$1,2$1$1$-1.3889972657314$1$1$1
ptp4$SPBC3D6.05.1$-0.33085424431699$2,1$1$1$-0.574750710492074$-1$1$1
lsm1$SPBC3D6.08c.1$-1.64741716049932$2,1,3$1$1$-16.7828688851932$0.5$0.5$1
dpb4$SPBC3D6.09.1$-2.11296423371848$2,1$1$1$-5.00735299014261$-1$1$1
rps2501$SPBC3D6.15.1$-3.36897650265099$2,1$1$1$-70.3047574784841$-1$1$1
SPBC3E7.07c$SPBC3E7.07c.1$-14.9024206751338$4,5,3,1,2$1$1$-28.1843460127799$-0.8$0.8$0.133333333333333
fma1$SPBC3E7.10.1$-4.23841008370382$3,2,1$1$1$-37.3651369707361$-1$1$0.333333333333333
SPBC3E7.11c$SPBC3E7.11c.1$0$1,2$1$1$-6.5252862819784$1$1$1
SPBC3H7.08c$SPBC3H7.08c.1$-4.94875989037817$2,1$1$1$-11.3552072256322$-1$1$1
SPBC4.02c$SPBC4.02c.1$-3.92295403443864$2,3,1$1$1$-2.0996760090508$-0.5$0.5$1
ypt7$SPBC405.04c.1$-3.71357206670431$2,1$1$1$-3.87792102055748$-1$1$1
swi5$SPBC409.03.1$0$1,2$1$1$-31.14408436926$1$1$1
