gene_symbol$transcript_id$relative_likelihood$best_order$number_of_orders_have_same_prob$percent_coverage_order_pair$disorder_p_value$spearman_rho$spearman_rho_abs$spearman_p_value
tim8$SPAC13G6.04.1$-1.96417549703261$2,1$1$1$-9.83008540145015$-1$1$1
upf3$SPAC13G7.03.1$0$1,2$1$1$-1.61118669394193$1$1$1
teb1$SPAC13G7.10.1$0$1,2$1$1$-0.578418824111348$1$1$1
mba1$SPAC13G7.11.1$0$1,2$1$1$-10.6279441016622$1$1$1
ade2$SPAC144.03.1$-3.03590540896205$2,1$1$1$-125.976092239674$-1$1$1
dsc2$SPAC1486.02c.1$-1.97817101127353$2,1$1$1$-18.3074420050737$-1$1$1
smc5$SPAC14C4.02c.1$-1.03609193168678$2,1$1$1$-1.18090454668385$-1$1$1
nab2$SPAC14C4.06c.1$0$1,2$1$1$-0.891614198476317$1$1$1
rad17$SPAC14C4.13.1$-3.71357206670431$2,1$1$1$-3.87792102055748$-1$1$1
atp1$SPAC14C4.14.1$-0.547240570507769$2,1$1$1$-2.4780832255922$-1$1$1
sft2$SPAC1527.02.1$0$1,2$2$1$0$1$1$1
azr1$SPAC1556.03.1$0$1,2$1$1$-2.22768475370466$1$1$1
cdd1$SPAC1556.04c.1$-16.2342234265182$4,3,1,2$1$1$-48.5088434992957$-0.8$0.8$0.333333333333333
cgr1$SPAC1556.05c.1$-4.40329099643438$3,2,1$1$1$-51.2319120592632$-1$1$0.333333333333333
SPAC15A10.06$SPAC15A10.06.1$0$1,2,3$1$1$-2.97100032980028$1$1$0.333333333333333
ain1$SPAC15A10.08.1$-3.04452243772342$2,1$1$1$-2.22768475370466$-1$1$1
sgo2$SPAC15A10.15.1$-2.55997422282142$2,1,3,4$2$1$-18.9590690095096$0.8$0.8$0.333333333333333
ect1$SPAC15E1.05c.1$-7.09920174355309$2,1$1$1$-86.5632227507982$-1$1$1
grx2$SPAC15E1.09.1$-2.44193952553967$2,3,1$1$1$-88.6482841046663$-0.5$0.5$1
nxt2$SPAC15F9.03c.1$-22.1054533668174$3,4,1,2$1$1$-175.364709908469$-0.6$0.6$0.416666666666667
rho2$SPAC16.01.1$-33.5073518226088$7,2,5,8,1,4,6,3$1$1$-252.021199607688$-0.214285714285714$0.214285714285714$0.619097222222222
srp2$SPAC16.02c.1$-23.3510077617294$1,7,8,5,2,3,9,6,4$1$1$-605.170363284286$0.15$0.15$0.708068783068783
SPAC1639.01c$SPAC1639.01c.1$-4.26267987704132$2,1$1$1$-6.19211401709247$-1$1$1
pam17$SPAC167.04.1$-1.15080369719558$3,2,1$1$1$-0.326793214115592$-1$1$0.333333333333333
hul5$SPAC167.07c.1$0$1,2$2$1$0$1$1$1
SPAC167.09$SPAC167.09.1$-3.04452243772342$2,1$1$1$-2.22768475370466$-1$1$1
rpc19$SPAC1687.01.1$0$1,2,3$1$1$-26.717575975385$1$1$0.333333333333333
rfc4$SPAC1687.03c.1$-0.792445401542226$2,1$1$1$-3.25456068321926$-1$1$1
gsk3$SPAC1687.15.1$-1.06635142644989$2,1$1$1$-1.90967828215751$-1$1$1
SPAC1687.17c$SPAC1687.17c.1$-2.39789527279837$2,1,3$1$1$-24.2847489911144$0.5$0.5$1
SPAC1687.21$SPAC1687.21.1$-18.4537737283254$5,4,3,1,2$1$1$-89.4115036053397$-0.9$0.9$0.0833333333333333
puf3$SPAC1687.22c.1$-2.39789527279837$2,1$1$1$-1.30606938532732$-1$1$1
SPAC16A10.03c$SPAC16A10.03c.1$-5.30330490805908$2,1,3$1$1$-19.3388195164607$0.5$0.5$1
nse2$SPAC16A10.06c.1$-1.31567679390594$2,1$1$1$-1.79889198329438$-1$1$1
